"categoria";"id";"nome";"comune_sede";"provincia";"servizio_tipologia";"periodo_validita";"stato";"data_verifica_documentale";"fonti";"scheda_completa_json"
"scuole";"SCU76-004";"Liceo Paolo Ruffini";"Viterbo";"VT";"Sportello di ascolto psicologico";"Pagina aggiornata 07/01/2026; annualità del servizio non specificata";"Da confermare – annualità non esplicita";"2026-09-21";"https://www.liceopaoloruffiniviterbo.edu.it/servizio/sportello-di-ascolto/";"{""id"": ""SCU76-004"", ""istituto"": ""Liceo Paolo Ruffini"", ""comune"": ""Viterbo"", ""provincia"": ""VT"", ""ordine_grado"": ""Secondaria di II grado"", ""servizio"": ""Sportello di ascolto psicologico"", ""ammessi"": ""Studenti, genitori e personale secondo modalità del servizio"", ""gratuito"": ""Sì secondo pagina"", ""modalita_accesso"": ""Presenza o Meet secondo categoria e disponibilità del servizio"", ""prenotazione"": ""Non documentata nel riscontro acquisito"", ""professionista_ente_gestore"": ""Non documentato"", ""periodo_validita"": ""Pagina aggiornata 07/01/2026; annualità del servizio non specificata"", ""telefono_email_link"": ""Segreteria: Piazza Dante Alighieri 13; 0761 340694; vtps010006@istruzione.it"", ""collaborazione_pubblica"": ""Istituto scolastico; altri partner non documentati"", ""fonte"": ""https://www.liceopaoloruffiniviterbo.edu.it/servizio/sportello-di-ascolto/"", ""ultima_verifica"": ""2026-09-21"", ""stato_dato"": ""Da confermare – annualità non esplicita"", ""tipo_record"": ""sportello_scolastico"", ""fonti_v7_6"": [""SRC-SCU76-004""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"scuole";"SCU76-005";"ITS Arturo Bianchini";"Terracina";"LT";"Sportello di ascolto psicologico";"A.S. 2024/2025";"Storico – disponibilità 2026/27 da confermare";"2026-09-21";"https://www.itsbianchini.edu.it/pagine/sportello-dascolto";"{""id"": ""SCU76-005"", ""istituto"": ""ITS Arturo Bianchini"", ""comune"": ""Terracina"", ""provincia"": ""LT"", ""ordine_grado"": ""Secondaria di II grado"", ""servizio"": ""Sportello di ascolto psicologico"", ""ammessi"": ""Comunità scolastica secondo l’avviso"", ""gratuito"": ""Sì secondo l’avviso"", ""modalita_accesso"": ""Secondo la circolare della scuola; per minori verificare i consensi richiesti."", ""prenotazione"": ""WhatsApp 339 5310835 (contatto dell’avviso 2024/25, da confermare)"", ""professionista_ente_gestore"": ""Marco Masci, psicologo/psicoterapeuta indicato"", ""periodo_validita"": ""A.S. 2024/2025"", ""telefono_email_link"": ""Segreteria: Via Pantanelle snc; 0773 724011; LTIS02800R@istruzione.it"", ""collaborazione_pubblica"": ""Istituto scolastico; altri partner non documentati"", ""fonte"": ""https://www.itsbianchini.edu.it/pagine/sportello-dascolto"", ""ultima_verifica"": ""2026-09-21"", ""stato_dato"": ""Storico – disponibilità 2026/27 da confermare"", ""tipo_record"": ""sportello_scolastico"", ""fonti_v7_6"": [""SRC-SCU76-005""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"scuole";"SCU76-006";"IIS Alessandro Volta";"Frosinone";"FR";"Sportello di ascolto psicologico";"A.S. 2025/2026, circolare n. 245";"Storico – disponibilità 2026/27 da confermare";"2026-09-21";"https://www.voltafr.edu.it/pagine/comunicazioni-";"{""id"": ""SCU76-006"", ""istituto"": ""IIS Alessandro Volta"", ""comune"": ""Frosinone"", ""provincia"": ""FR"", ""ordine_grado"": ""Secondaria di II grado"", ""servizio"": ""Sportello di ascolto psicologico"", ""ammessi"": ""Non documentato nel riscontro acquisito"", ""gratuito"": ""Non documentato"", ""modalita_accesso"": ""Secondo la circolare della scuola; per minori verificare i consensi richiesti."", ""prenotazione"": ""Non documentata nel riscontro acquisito"", ""professionista_ente_gestore"": ""Non documentato"", ""periodo_validita"": ""A.S. 2025/2026, circolare n. 245"", ""telefono_email_link"": ""Segreteria: Viale Roma snc; 0775 251511; fris01800e@istruzione.it"", ""collaborazione_pubblica"": ""Istituto scolastico; altri partner non documentati"", ""fonte"": ""https://www.voltafr.edu.it/pagine/comunicazioni-"", ""ultima_verifica"": ""2026-09-21"", ""stato_dato"": ""Storico – disponibilità 2026/27 da confermare"", ""tipo_record"": ""sportello_scolastico"", ""fonti_v7_6"": [""SRC-SCU76-006""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"scuole";"SCU76-007";"IIS Celestino Rosatelli";"Rieti";"RI";"Sportello di ascolto psicologico";"Progetto FSE sportello psicologico 2023–2025";"Storico progettuale – apertura sportello 2026/27 non confermata";"2026-09-21";"https://www.rosatelli.edu.it/pn/";"{""id"": ""SCU76-007"", ""istituto"": ""IIS Celestino Rosatelli"", ""comune"": ""Rieti"", ""provincia"": ""RI"", ""ordine_grado"": ""Secondaria di II grado"", ""servizio"": ""Sportello di ascolto psicologico"", ""ammessi"": ""Non documentato nel riscontro acquisito"", ""gratuito"": ""Non documentato"", ""modalita_accesso"": ""Secondo la circolare della scuola; per minori verificare i consensi richiesti."", ""prenotazione"": ""Non documentata nel riscontro acquisito"", ""professionista_ente_gestore"": ""Non documentato"", ""periodo_validita"": ""Progetto FSE sportello psicologico 2023–2025"", ""telefono_email_link"": ""Segreteria: Viale A. Fassini 1; 0746 201387; RIIS007008@istruzione.it"", ""collaborazione_pubblica"": ""Istituto scolastico; altri partner non documentati"", ""fonte"": ""https://www.rosatelli.edu.it/pn/"", ""ultima_verifica"": ""2026-09-21"", ""stato_dato"": ""Storico progettuale – apertura sportello 2026/27 non confermata"", ""tipo_record"": ""sportello_scolastico"", ""fonti_v7_6"": [""SRC-SCU76-007""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"centri_ascolto";"ASC76-001";"Consultorio Montefiascone – area psicologica";"Montefiascone";"VT";"";"Non documentato separatamente";"Riesame documentale parziale; agenda da confermare";"2026-09-21";"https://www.asl.vt.it/consultori";"{""id"": ""ASC76-001"", ""nome"": ""Consultorio Montefiascone – area psicologica"", ""ente_titolare"": ""ASL Viterbo"", ""comune_municipio"": ""Montefiascone"", ""provincia"": ""VT"", ""destinatari"": ""Singoli, coppie e famiglie secondo i percorsi consultoriali"", ""finalita"": ""Ascolto e consulenza psicologica consultoriale; non CSM o pronto soccorso"", ""costo"": ""Gratuito secondo pagina ASL"", ""accesso"": ""Senza impegnativa; prenotazione e percorso da concordare con la sede"", ""telefono"": ""0761 1860372 (area psicologica)"", ""email"": ""Non documentata nella pagina"", ""indirizzo"": ""Via Dante Alighieri 100, Montefiascone"", ""orari"": ""Lun–ven 08:30–13:30 e 14:30–17; apertura sede, non agenda individuale dello psicologo."", ""fonte"": ""https://www.asl.vt.it/consultori"", ""ultima_verifica"": ""2026-09-21"", ""stato"": ""Riesame documentale parziale; agenda da confermare"", ""fonti_v7_6"": [""VT-CONS""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"centri_ascolto";"ASC76-002";"Consultorio Acquapendente – area psicologica";"Acquapendente";"VT";"";"Non documentato separatamente";"Riesame documentale parziale; agenda da confermare";"2026-09-21";"https://www.asl.vt.it/consultori";"{""id"": ""ASC76-002"", ""nome"": ""Consultorio Acquapendente – area psicologica"", ""ente_titolare"": ""ASL Viterbo"", ""comune_municipio"": ""Acquapendente"", ""provincia"": ""VT"", ""destinatari"": ""Singoli, coppie e famiglie secondo i percorsi consultoriali"", ""finalita"": ""Ascolto e consulenza psicologica consultoriale; non CSM o pronto soccorso"", ""costo"": ""Gratuito secondo pagina ASL"", ""accesso"": ""Senza impegnativa; prenotazione e percorso da concordare con la sede"", ""telefono"": ""0763 735214 (area psicologica)"", ""email"": ""Non documentata nella pagina"", ""indirizzo"": ""Via del Fiore 14, Acquapendente"", ""orari"": ""Lun–ven 08:30–13:30; mar e gio anche 14:30–17; apertura sede, non agenda individuale dello psicologo."", ""fonte"": ""https://www.asl.vt.it/consultori"", ""ultima_verifica"": ""2026-09-21"", ""stato"": ""Riesame documentale parziale; agenda da confermare"", ""fonti_v7_6"": [""VT-CONS""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"centri_ascolto";"ASC76-003";"Consultorio Bagnoregio – area psicologica";"Bagnoregio";"VT";"";"Non documentato separatamente";"Riesame documentale parziale; agenda da confermare";"2026-09-21";"https://www.asl.vt.it/consultori";"{""id"": ""ASC76-003"", ""nome"": ""Consultorio Bagnoregio – area psicologica"", ""ente_titolare"": ""ASL Viterbo"", ""comune_municipio"": ""Bagnoregio"", ""provincia"": ""VT"", ""destinatari"": ""Singoli, coppie e famiglie secondo i percorsi consultoriali"", ""finalita"": ""Ascolto e consulenza psicologica consultoriale; non CSM o pronto soccorso"", ""costo"": ""Gratuito secondo pagina ASL"", ""accesso"": ""Senza impegnativa; prenotazione e percorso da concordare con la sede"", ""telefono"": ""0761 1860437 (area psicologica)"", ""email"": ""Non documentata nella pagina"", ""indirizzo"": ""Via F.lli Agosti, Casa della Salute, Bagnoregio"", ""orari"": ""Lun–ven 08:30–13:30; mar e gio anche 14:30–17; apertura sede, non agenda individuale dello psicologo."", ""fonte"": ""https://www.asl.vt.it/consultori"", ""ultima_verifica"": ""2026-09-21"", ""stato"": ""Riesame documentale parziale; agenda da confermare"", ""fonti_v7_6"": [""VT-CONS""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"centri_ascolto";"ASC76-004";"Consultorio Tuscania – area psicologica";"Tuscania";"VT";"";"Non documentato separatamente";"Riesame documentale parziale; agenda da confermare";"2026-09-21";"https://www.asl.vt.it/consultori";"{""id"": ""ASC76-004"", ""nome"": ""Consultorio Tuscania – area psicologica"", ""ente_titolare"": ""ASL Viterbo"", ""comune_municipio"": ""Tuscania"", ""provincia"": ""VT"", ""destinatari"": ""Singoli, coppie e famiglie secondo i percorsi consultoriali"", ""finalita"": ""Ascolto e consulenza psicologica consultoriale; non CSM o pronto soccorso"", ""costo"": ""Gratuito secondo pagina ASL"", ""accesso"": ""Senza impegnativa; prenotazione e percorso da concordare con la sede"", ""telefono"": ""0761 338810 (area psicologica)"", ""email"": ""Non documentata nella pagina"", ""indirizzo"": ""Piazza F. Basile 11, Tuscania"", ""orari"": ""Lun–ven 08:30–13:30; mar e gio anche 14:30–17; apertura sede, non agenda individuale dello psicologo."", ""fonte"": ""https://www.asl.vt.it/consultori"", ""ultima_verifica"": ""2026-09-21"", ""stato"": ""Riesame documentale parziale; agenda da confermare"", ""fonti_v7_6"": [""VT-CONS""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"centri_ascolto";"ASC76-005";"Consultorio Ronciglione – area psicologica";"Ronciglione";"VT";"";"Non documentato separatamente";"Riesame documentale parziale; agenda da confermare";"2026-09-21";"https://www.asl.vt.it/consultori";"{""id"": ""ASC76-005"", ""nome"": ""Consultorio Ronciglione – area psicologica"", ""ente_titolare"": ""ASL Viterbo"", ""comune_municipio"": ""Ronciglione"", ""provincia"": ""VT"", ""destinatari"": ""Singoli, coppie e famiglie secondo i percorsi consultoriali"", ""finalita"": ""Ascolto e consulenza psicologica consultoriale; non CSM o pronto soccorso"", ""costo"": ""Gratuito secondo pagina ASL"", ""accesso"": ""Senza impegnativa; prenotazione e percorso da concordare con la sede"", ""telefono"": ""0761 651205 (area psicologica)"", ""email"": ""Non documentata nella pagina"", ""indirizzo"": ""Piazza Principe di Piemonte, residenza La Pace, Ronciglione"", ""orari"": ""Da confermare: formulazione ambigua per mattine; lun e mer 14:30–17 indicati; apertura sede, non agenda individuale dello psicologo."", ""fonte"": ""https://www.asl.vt.it/consultori"", ""ultima_verifica"": ""2026-09-21"", ""stato"": ""Riesame documentale parziale; agenda da confermare"", ""fonti_v7_6"": [""VT-CONS""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"centri_ascolto";"ASC76-006";"Centro Antiviolenza Donna Lilith";"Latina";"LT";"";"Non documentato separatamente";"Elenco regionale senza annualità esplicita; recapiti e calendario da confermare";"2026-09-21";"https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/";"{""id"": ""ASC76-006"", ""nome"": ""Centro Antiviolenza Donna Lilith"", ""ente_titolare"": ""Rete regionale antiviolenza; titolarità/gestione specifica da confermare"", ""comune_municipio"": ""Latina"", ""provincia"": ""LT"", ""destinatari"": ""Donne che subiscono violenza"", ""finalita"": ""Accoglienza, ascolto e orientamento antiviolenza; non soccorso sanitario"", ""costo"": ""Non documentato nella pagina acquisita"", ""accesso"": ""Contatto con il centro per concordare accesso"", ""telefono"": ""0773 664165 / 347 7318149"", ""email"": ""info@centrodonnalilith.it"", ""indirizzo"": ""Via Farini 2, Latina"", ""orari"": ""Lun–gio 08:30–12:30 e 14:30–18:30; ven 08:30–12:30; sab/dom reperibilità telefonica, non apertura sede H24; validità corrente da confermare."", ""fonte"": ""https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/"", ""ultima_verifica"": ""2026-09-21"", ""stato"": ""Elenco regionale senza annualità esplicita; recapiti e calendario da confermare"", ""fonti_v7_6"": [""REG-CAV""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"centri_ascolto";"ASC76-007";"Centro Antiviolenza Mai più ferite";"Frosinone";"FR";"";"Non documentato separatamente";"Elenco regionale senza annualità esplicita; recapiti e calendario da confermare";"2026-09-21";"https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/";"{""id"": ""ASC76-007"", ""nome"": ""Centro Antiviolenza Mai più ferite"", ""ente_titolare"": ""Rete regionale antiviolenza; titolarità/gestione specifica da confermare"", ""comune_municipio"": ""Frosinone"", ""provincia"": ""FR"", ""destinatari"": ""Donne che subiscono violenza"", ""finalita"": ""Accoglienza, ascolto e orientamento antiviolenza; non soccorso sanitario"", ""costo"": ""Non documentato nella pagina acquisita"", ""accesso"": ""Contatto con il centro per concordare accesso"", ""telefono"": ""800 479898 / 345 3920312"", ""email"": ""infomaipiuferite@libero.it"", ""indirizzo"": ""Corso della Repubblica 130, Frosinone"", ""orari"": ""Lun, mar, mer, ven 09–13; gio anche 15–18; sab/dom reperibilità telefonica; validità corrente da confermare."", ""fonte"": ""https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/"", ""ultima_verifica"": ""2026-09-21"", ""stato"": ""Elenco regionale senza annualità esplicita; recapiti e calendario da confermare"", ""fonti_v7_6"": [""REG-CAV""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"centri_ascolto";"ASC76-008";"Centro Antiviolenza Il Nido di Ana";"Rieti";"RI";"";"Non documentato separatamente";"Elenco regionale senza annualità esplicita; recapiti e calendario da confermare";"2026-09-21";"https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/ | https://progetti.regione.lazio.it/nonseisola/mappa-centri-antiviolenza/";"{""id"": ""ASC76-008"", ""nome"": ""Centro Antiviolenza Il Nido di Ana"", ""ente_titolare"": ""Rete regionale antiviolenza; titolarità/gestione specifica da confermare"", ""comune_municipio"": ""Rieti"", ""provincia"": ""RI"", ""destinatari"": ""Donne che subiscono violenza"", ""finalita"": ""Accoglienza, ascolto e orientamento antiviolenza; non soccorso sanitario"", ""costo"": ""Non documentato nella pagina acquisita"", ""accesso"": ""Contatto con il centro per concordare accesso"", ""telefono"": ""0746 280512"", ""email"": ""Da confermare: ilnidodiana.odv@gmail.com nell’elenco; capitrieti@libero.it nella mappa"", ""indirizzo"": ""Piazza Vittorio Emanuele II 17, ingresso da confermare (B/d discordanti nelle pagine), Rieti"", ""orari"": ""Lun, mer, ven 10–12; mar e gio 16–18; validità corrente da confermare."", ""fonte"": ""https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/"", ""ultima_verifica"": ""2026-09-21"", ""stato"": ""Elenco regionale senza annualità esplicita; recapiti e calendario da confermare"", ""fonti_v7_6"": [""REG-CAV"", ""REG-CAVMAP""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"centri_ascolto";"ASC76-009";"Centro Antiviolenza Penelope";"Viterbo";"VT";"";"Non documentato separatamente";"Elenco regionale senza annualità esplicita; recapiti e calendario da confermare";"2026-09-21";"https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/";"{""id"": ""ASC76-009"", ""nome"": ""Centro Antiviolenza Penelope"", ""ente_titolare"": ""Rete regionale antiviolenza; titolarità/gestione specifica da confermare"", ""comune_municipio"": ""Viterbo"", ""provincia"": ""VT"", ""destinatari"": ""Donne che subiscono violenza"", ""finalita"": ""Accoglienza, ascolto e orientamento antiviolenza; non soccorso sanitario"", ""costo"": ""Non documentato nella pagina acquisita"", ""accesso"": ""Contatto con il centro per concordare accesso"", ""telefono"": ""0761 1563229 / 392 6473807"", ""email"": ""centroantiviolenza.penelope@gmail.com"", ""indirizzo"": ""Via della Pettinara 4, Viterbo"", ""orari"": ""Lun, mer, ven 15–19; mar e gio 09–13; sab/dom reperibilità telefonica; validità corrente da confermare."", ""fonte"": ""https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/"", ""ultima_verifica"": ""2026-09-21"", ""stato"": ""Elenco regionale senza annualità esplicita; recapiti e calendario da confermare"", ""fonti_v7_6"": [""REG-CAV""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"centri_ascolto";"ASC76-010";"Centro Antiviolenza Donne al centro";"Aprilia";"LT";"";"Non documentato separatamente";"Elenco regionale senza annualità esplicita; recapiti e calendario da confermare";"2026-09-21";"https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/";"{""id"": ""ASC76-010"", ""nome"": ""Centro Antiviolenza Donne al centro"", ""ente_titolare"": ""Rete regionale antiviolenza; titolarità/gestione specifica da confermare"", ""comune_municipio"": ""Aprilia"", ""provincia"": ""LT"", ""destinatari"": ""Donne che subiscono violenza"", ""finalita"": ""Accoglienza, ascolto e orientamento antiviolenza; non soccorso sanitario"", ""costo"": ""Non documentato nella pagina acquisita"", ""accesso"": ""Contatto con il centro per concordare accesso"", ""telefono"": ""328 7774577"", ""email"": ""cavdonnealcentroaprilia@gmail.com"", ""indirizzo"": ""Via Pontina km 46.600, presso Culturaprilia, Aprilia"", ""orari"": ""Lun, mer, ven 09–12; mar e gio 15–18; sab/dom reperibilità telefonica; validità corrente da confermare."", ""fonte"": ""https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/"", ""ultima_verifica"": ""2026-09-21"", ""stato"": ""Elenco regionale senza annualità esplicita; recapiti e calendario da confermare"", ""fonti_v7_6"": [""REG-CAV""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"universita";"UNI76-001";"S.A.C.S. – Sportello di Ascolto e Consulenza per Studenti";"Piazza Lauro de Bosis 15, Palazzo H, terzo piano, stanza D506, Roma";"";"S.A.C.S. – Sportello di Ascolto e Consulenza per Studenti";"Servizio istituzionale descritto; calendario/slot 2026 da confermare";"Riscontro da pagina indicizzata ufficiale; dettagli operativi da riconfermare";"2026-09-21";"https://www.uniroma4.it/index.php/come-fare-per/usufruire-dello-sportello-di-ascolto/";"{""id"": ""UNI76-001"", ""universita"": ""Università degli Studi di Roma Foro Italico"", ""servizio"": ""S.A.C.S. – Sportello di Ascolto e Consulenza per Studenti"", ""tipologia"": ""Ascolto e consulenza psicologica breve"", ""destinatari"": ""Studenti e studentesse"", ""utenza"": ""studenti"", ""gratuita_costo"": ""Gratuito secondo la pagina dedicata"", ""limite_incontri"": ""1–5 incontri individuali di circa 60 minuti; possibile follow-up a 4–6 mesi"", ""modalita"": ""Presenza o Teams secondo pagina dedicata"", ""sede"": ""Piazza Lauro de Bosis 15, Palazzo H, terzo piano, stanza D506, Roma"", ""telefono"": ""Non documentato per prenotazione clinica"", ""email"": ""sabrina.pitzalis@uniroma4.it"", ""prenotazione"": ""Email alla responsabile per studenti; modalità del canale personale da confermare"", ""criteri_accesso"": ""Appartenenza alla comunità di Ateneo, secondo il canale"", ""periodo_validita"": ""Servizio istituzionale descritto; calendario/slot 2026 da confermare"", ""fonte_ufficiale"": ""https://www.uniroma4.it/index.php/come-fare-per/usufruire-dello-sportello-di-ascolto/"", ""ultima_verifica"": ""2026-09-21"", ""stato_verifica"": ""Riscontro da pagina indicizzata ufficiale; dettagli operativi da riconfermare"", ""fonti_v7_6"": [""UNI-FORO""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"universita";"UNI76-002";"Sportello di Ascolto per il personale";"Palazzo H, stanza D507, terzo piano, Roma";"";"Sportello di Ascolto per il personale";"Servizio istituzionale descritto; calendario/slot 2026 da confermare";"Riscontro da pagina indicizzata ufficiale; dettagli operativi da riconfermare";"2026-09-21";"https://www.uniroma4.it/index.php/come-fare-per/usufruire-dello-sportello-di-ascolto/ | https://www.uniroma4.it/index.php/avvisi/benessere-personale-e-nato-un-nuovo-spazio-di-ascolto-in-ateneo/";"{""id"": ""UNI76-002"", ""universita"": ""Università degli Studi di Roma Foro Italico"", ""servizio"": ""Sportello di Ascolto per il personale"", ""tipologia"": ""Ascolto e consulenza psicologica breve"", ""destinatari"": ""Personale docente, ricercatore, tecnico, amministrativo, bibliotecario e dirigenziale"", ""utenza"": ""docenti; personale"", ""gratuita_costo"": ""Gratuito secondo la pagina dedicata"", ""limite_incontri"": ""1–5 incontri individuali di circa 60 minuti; possibile follow-up a 4–6 mesi"", ""modalita"": ""Presenza o Teams secondo pagina dedicata"", ""sede"": ""Palazzo H, stanza D507, terzo piano, Roma"", ""telefono"": ""Non documentato per prenotazione clinica"", ""email"": ""Non documentata nella fonte acquisita"", ""prenotazione"": ""Email alla responsabile per studenti; modalità del canale personale da confermare"", ""criteri_accesso"": ""Appartenenza alla comunità di Ateneo, secondo il canale"", ""periodo_validita"": ""Servizio istituzionale descritto; calendario/slot 2026 da confermare"", ""fonte_ufficiale"": ""https://www.uniroma4.it/index.php/come-fare-per/usufruire-dello-sportello-di-ascolto/"", ""ultima_verifica"": ""2026-09-21"", ""stato_verifica"": ""Riscontro da pagina indicizzata ufficiale; dettagli operativi da riconfermare"", ""fonti_v7_6"": [""UNI-FORO"", ""UNI-FOROPERS""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
"helpline";"HELP76-001";"Dianova – numero verde dipendenze";"";"";"Dipendenze / alcol";"Non documentato separatamente";"Pagina del gestore consultata; chiamata non effettuata";"2026-09-21";"https://www.dianova.it/numero-verde-droga/";"{""id"": ""HELP76-001"", ""nome"": ""Dianova – numero verde dipendenze"", ""ente"": ""Dianova Cooperativa Sociale"", ""natura"": ""Terzo settore"", ""categoria"": ""Dipendenze / alcol"", ""numero"": ""800 012729"", ""costo_chiamata"": ""Gratuita secondo il gestore"", ""costo_servizio"": ""Orientamento telefonico gratuito"", ""orari"": ""Lun–ven 09–17"", ""destinatari"": ""Persone con problemi di droghe o alcol e persone che chiedono orientamento."", ""funzione"": ""Informazioni sulle dipendenze, orientamento ai servizi pubblici e ai programmi Dianova."", ""cosa_non_e"": ""Non è un numero di emergenza, una diagnosi telefonica o una garanzia di posto in comunità."", ""sito_ufficiale"": ""https://www.dianova.it/numero-verde-droga/"", ""ultima_verifica"": ""2026-09-21"", ""stato_verifica"": ""Pagina del gestore consultata; chiamata non effettuata"", ""fonti_v7_6"": [""DIAN-NUM""], ""ultima_verifica_v7_6"": ""2026-09-21"", ""conferma_diretta"": false}"
