id_modulo;denominazione;modulo;verifica_web_v7_3_data;esito_verifica_v7_3;azione_v7_3;fonti_v7_3;stato_v7_3;sezione_canonica_v7_3
MOD-025;Colle Cesarano;SRSR H12 B3;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-026;Colle Cesarano;SRSR H24 A1;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-027;Colle Cesarano;SRSR H24 A2;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-028;Colle Cesarano;SRSR H24 B4;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-029;Villa Costanza;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-030;Samadi;STPIT;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Accreditata: convenzione da comprovare;STPIT
MOD-031;Samadi;SRTRi;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf | https://www.ghcspa.com/samadi/accoglienza/modalita-di-accettazione-e-ricovero | https://www.ghcspa.com/samadi/chi-siamo/la-struttura-residenziale | https://www.ghcspa.com/samadi/accoglienza/informazioni-generali;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-032;Samadi;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf | https://www.ghcspa.com/samadi/accoglienza/modalita-di-accettazione-e-ricovero | https://www.ghcspa.com/samadi/chi-siamo/la-struttura-residenziale | https://www.ghcspa.com/samadi/accoglienza/informazioni-generali;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-033;Samadi;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.ghcspa.com/sites/default/files/2026-02/PARS-SAMADI-2026.pdf | https://www.ghcspa.com/samadi/accoglienza/modalita-di-accettazione-e-ricovero | https://www.ghcspa.com/samadi/chi-siamo/la-struttura-residenziale | https://www.ghcspa.com/samadi/accoglienza/informazioni-generali;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-034;Villa Rosa;STPIT;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://viterbo.ospedaliere.it/psichiatria/ | https://viterbo.ospedaliere.it/servizi-per-il-paziente/psichiatria/srsrh24-struttura-residenziale-socio-riabilitativa-24-ore/;Accreditata: convenzione da comprovare;STPIT
MOD-035;Villa Rosa;SRTRi;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://viterbo.ospedaliere.it/psichiatria/ | https://viterbo.ospedaliere.it/servizi-per-il-paziente/psichiatria/srsrh24-struttura-residenziale-socio-riabilitativa-24-ore/;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-036;Villa Rosa;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://viterbo.ospedaliere.it/psichiatria/ | https://viterbo.ospedaliere.it/servizi-per-il-paziente/psichiatria/srsrh24-struttura-residenziale-socio-riabilitativa-24-ore/;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-037;Villa Rosa;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://viterbo.ospedaliere.it/psichiatria/ | https://viterbo.ospedaliere.it/servizi-per-il-paziente/psichiatria/srsrh24-struttura-residenziale-socio-riabilitativa-24-ore/;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-038;Abaton / Progetto Insieme Castelforte;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-039;Insieme1 Sole;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-040;Insieme1 Luna;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-041;Insieme2;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-042;Insieme Mongolfiera;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-043;Insieme Arcobaleno;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-044;Insieme Ausonia;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf | https://www.comunitainsieme.com/download/amministrazione_trasparente/prestazioni-in-ambito-di-accreditamento.pdf;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-045;Insieme Spigno;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-046;Alberto Pezzi;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-047;Redzep Sestovic;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-048;Dianova Palombara Sabina;Comunità terapeutico-riabilitativa;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-049;C. Massimo;Pedagogico-riabilitativa;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://comunitamassimo.org/resources/carta-servizi-28-10-2019.pdf | https://www.regione.lazio.it/sites/default/files/decreti-commissario-ad-acta/Decr_U00241.pdf;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-050;In Dialogo — Nuova Era;Comunità residenziale;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://comunitaindialogo.it/centri-in-italia/nuova-era/;Convenzione storica: attualità da comprovare;Da verificare 2026
MOD-051;In Dialogo — Il Casale;Comunità residenziale;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://comunitaindialogo.it/;Convenzionata documentata – inserimento/finanziamento pubblico 2026;Convenzionate
MOD-052;Exodus Cassino;Comunità residenziale;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.exodus.it/sedi-exodus/cassino.html | https://www.exodus.it/sedi-exodus/documenti/cassino_cs_2025.pdf;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-053;Exodus Cassino;Comunità semiresidenziale;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.exodus.it/sedi-exodus/cassino.html | https://www.exodus.it/sedi-exodus/documenti/cassino_cs_2025.pdf;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-054;Santa Maria della Quercia;Comunità terapeutica;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://ceis.viterbo.it/comunita-terapeutica/ | https://www.actalazio.it/;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-055;Palanzana;Comunità prima fase storica;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://ceis.viterbo.it/strutture/;Ricollocata / non contata attiva;Da verificare 2026
MOD-056;Campus Calisto Felli;Comunità doppia diagnosi;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://ceis.viterbo.it/comunita-doppia-diagnosi/ | https://ceis.viterbo.it/wp-content/uploads/2022/09/carta-dei-servizi-rev-rev4-10-07-2023.pdf;Accreditata: convenzione/contratto 2026 da comprovare;Da verificare 2026
MOD-057;Comunità Ambrosini / PaoloVI;Terapeutico-riabilitativa semiresidenziale;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-058;Comunità Santa Maria / Capannelle;Terapeutico-riabilitativa residenziale;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-059;San Carlo e Villa Santa Francesca Romana;Pedagogico-riabilitativa residenziale;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.ceisroma.it/wp-content/uploads/2023/05/Bilancio-sociale-2021-al-14_05_21.pdf;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-060;L’Approdo;Comunità terapeutica;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.approdocomunita.org/ | https://www.approdocomunita.org/chi-siamo/ | https://www.approdocomunita.org/contattaci/;Accreditata: convenzione da comprovare;Da verificare 2026
MOD-061;Villa Elisa;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-062;Villa Letizia — EGO;SRSR H12;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-063;Operiamo Insieme;SRSR H12;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-064;Al Colle;SRSR H12;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-065;Insieme ONLUS;SRSR H12;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-066;Villa Maddalena;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-067;La Staffa;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-068;Rosaurora;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-069;Comunità Francesco;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-070;Il Colle;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-071;Villa Adriana;SRSR H24 — modulo1;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-072;Villa Adriana;SRSR H24 — modulo2;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-073;Villa Adriana;SRSR H24 — modulo3;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-074;Villa Adriana;SRSR H24 — modulo4;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-075;Castel Madama;SRSR H24 — modulo1;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-076;Castel Madama;SRSR H24 — modulo2;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-077;Villanova;SRSR H24 — modulo1;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-078;Villanova;SRSR H24 — modulo2;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-079;Villaggio Adriano;SRTRe — modulo1;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-080;Villaggio Adriano;SRTRe — modulo2;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-081;Canterano;SRTRe — modulo1;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-082;Canterano;SRTRe — modulo2;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-083;Maieusis — Residenza terapeutica;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-084;Maieusis — Centro diurno;Centro diurno psichiatrico;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-085;Villa Belvedere;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-086;Associazione La Tenda ETS;Comunità terapeutica semiresidenziale;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-087;IO Centro ETS;Comunità terapeutica semiresidenziale;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-088;Fondazione Villa Maraini ETS;Servizio Terapeutico Residenziale;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-089;Fondazione Villa Maraini ETS;Comunità terapeutica semiresidenziale diurna;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-090;Fondazione Villa Maraini ETS;Accoglienza semiresidenziale notturna SRRD;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;;Convenzionata documentata;Convenzionate
MOD-091;Agatos – Comunità Francesco Giugliarelli;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://aslbenevento-appalti.maggiolicloud.it/PortaleAppalti/it/ppgare_esiti_lista.wp?actionPath=%2FExtStr2%2Fdo%2FFrontEnd%2FEsiti%2Fview.action&codice=G01544&currentFrame=7 | https://www.aslbenevento.it/en/albo-pretorio?page=9;Convenzionata documentata – prestazioni extraregionali 2026;Convenzionate
MOD-092;Gli Oleandri;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://irp.cdn-website.com/b4ea64a2/files/uploaded/MODELLO%20231%20SOGEPI%20SRL%202021%20.pdf | https://trasparenza.asl1abruzzo.it/page/9/details/188507/prestazioni-sanitarie-di-assistenza-psichiatrica-rete-privata-accreditata-insita-fuori-regione-liquidazione-fatture-maggio-giugno-2025-presidio-sanitario-srtr-le-palme-e-gli-oleandri-sogepi-srl-sant-elia-fiumerapido-fr.html;Accreditata: contratto/prestazioni 2026 da comprovare;Da verificare 2026
MOD-093;Le Palme;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://irp.cdn-website.com/b4ea64a2/files/uploaded/MODELLO%20231%20SOGEPI%20SRL%202021%20.pdf | https://trasparenza.asl1abruzzo.it/page/9/details/188507/prestazioni-sanitarie-di-assistenza-psichiatrica-rete-privata-accreditata-insita-fuori-regione-liquidazione-fatture-maggio-giugno-2025-presidio-sanitario-srtr-le-palme-e-gli-oleandri-sogepi-srl-sant-elia-fiumerapido-fr.html;Accreditata: contratto/prestazioni 2026 da comprovare;Da verificare 2026
MOD-094;Borgo San Tommaso;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://gestivar.it/le-strutture/ | https://gestivar.it/contatti/ | https://trasparenza.asl1abruzzo.it/page/103/provvedimenti-organi-indirizzo-politico.html?p=20 | https://asl1abruzzo.patisweb.it/page/103/details/249395/prestazioni-di-assistenza-sanitaria-rete-privata-accreditata-insita-fuori-regione-liquidazione-fatture-maggiogiugno-2026-gesti-var-srl-srtr-estensiva-borgo-san-tommaso-roccasecca-fr.html;Convenzionata documentata – prestazioni extraregionali 2026;Convenzionate
MOD-095;Borgo San Tommaso;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://gestivar.it/le-strutture/ | https://gestivar.it/contatti/;Accreditata: specifico rapporto 2026 SRSR H24 da comprovare;Da verificare 2026
MOD-096;San Nicola – Belmonte;SRSR;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.regione.lazio.it/sites/default/files/decreti-commissario-ad-acta/Decr_U00006_21_1_13_Revoca_DCA_U00127_2013_BELMONTE.pdf;Accreditata: rapporto SSN 2026 da comprovare;Da verificare 2026
MOD-097;Montello / Gesti-Var;SRTRe;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://gestivar.it/le-strutture/ | https://gestivar.it/contatti/;Accreditata: rapporto SSN 2026 da comprovare;Da verificare 2026
MOD-098;Villa Lucrezia – Il Castello Incantato;SRSR H12;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.cooperativailcastelloincantato.it/la-cooperativa/amministrazione-trasparente/ | https://www.cooperativailcastelloincantato.it/portfolio_category/strutture/ | https://www.cooperativailcastelloincantato.it/contatti/;Accreditata: contratto/budget 2026 da comprovare;Da verificare 2026
MOD-099;Struttura Residenziale Psichiatrica San Valentino;STPIT;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.srpsanvalentino.it/ | https://www.srpsanvalentino.it/wp-content/uploads/2024/03/Modello-Organizzativo-231-S.-Valentino-Rev-08-del-18.1.24.pdf | https://www.regione.lazio.it/sites/default/files/decreti-commissario-ad-acta/SAN_DCA_U00006_12_01_2017.pdf;Accreditata: convenzione/contratto 2026 da comprovare;STPIT
MOD-100;Struttura Residenziale Psichiatrica San Valentino;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.srpsanvalentino.it/ | https://www.srpsanvalentino.it/wp-content/uploads/2024/03/Modello-Organizzativo-231-S.-Valentino-Rev-08-del-18.1.24.pdf | https://www.regione.lazio.it/sites/default/files/decreti-commissario-ad-acta/SAN_DCA_U00006_12_01_2017.pdf;Accreditata: convenzione/contratto 2026 da comprovare;Da verificare 2026
MOD-101;Villa Daniela;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.cooperativailcastelloincantato.it/la-cooperativa/amministrazione-trasparente/ | https://www.cooperativailcastelloincantato.it/portfolio_category/strutture/;Solo autorizzazione / rapporto SSN da comprovare;Da verificare 2026
MOD-102;Villa Simona;SRTRi;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.cooperativailcastelloincantato.it/la-cooperativa/amministrazione-trasparente/ | https://www.cooperativailcastelloincantato.it/portfolio_category/strutture/;Solo autorizzazione / rapporto SSN da comprovare;Da verificare 2026
MOD-103;Opera Don Calabria – Centro Diurno L’Alberoblu;Centro diurno psicoriabilitativo;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.operadoncalabria.it/servizi | https://www.operadoncalabria.it/alberoblu | https://www.alberoblu.org/carta-dei-servizi;Convenzionata documentata – dichiarazione corrente del gestore;Convenzionate
MOD-104;Aquilone Azzurro – Via Germanico;SRSR H12;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.cooperativasocialeaquiloneazzurro.it/ | https://www.cooperativasocialeaquiloneazzurro.it/DOCPDF/PARS%20Aquilone%20Azzurro.pdf;Accreditata: contratto/convenzione 2026 da comprovare;Da verificare 2026
MOD-105;Aquilone Azzurro – La Gatta;SRSR H24;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://www.cooperativasocialeaquiloneazzurro.it/ | https://www.cooperativasocialeaquiloneazzurro.it/DOCPDF/PARS%20Aquilone%20Azzurro.pdf;Accreditata: contratto/convenzione 2026 da comprovare;Da verificare 2026
MOD-106;Reverie – Comunità terapeutica romana;SRTR-e;2026-09-20;Classificazione V7.2 conservata salvo nuove evidenze specifiche.;Nessuna modifica sostanziale.;https://reverie.it/strutture/comunita-terapeutica-romana/ | https://reverie.it/ | https://reverie.it/amministrazione-trasparente/;Accreditata: contratto/convenzione 2026 da comprovare;Da verificare 2026
