asl;tipo;numero_record;ricontrollati_v7_2;nota
ASL Roma 1;Interventi precoci / giovani;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;Polo integrato / dipendenze giovani;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;Presidio salute mentale;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;Residenziale;3;3;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;SRSR;2;2;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;SRSR / gruppo appartamento;9;9;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;SRSR H12;2;2;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;SRTRe;4;4;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 1;SerD;6;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 2;Ambulatorio specialistico;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 2;CSM;8;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 2;Centro diurno;8;8;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 2;DSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 2;SRSR H12;1;1;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 2;SRTRe;3;3;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 2;SerD;6;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 2;SerD penitenziario;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 3;Ambulatorio CSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 3;Ascolto / orientamento;3;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 3;CSM;4;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 3;Centro diurno;1;1;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 3;DSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 3;Interventi precoci / giovani;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 3;SRSR H24;1;1;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 3;SRTRe;1;1;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 3;SerD;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 4;CSM;4;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 4;DSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 4;SerD;3;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 5;CSM;6;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 5;Centro diurno;6;6;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 5;DSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 5;SerD;5;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 6;CSM;6;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 6;Centro diurno;1;1;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 6;DSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Roma 6;SerD;5;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Viterbo;Ambulatorio CSM;13;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Viterbo;CSM;5;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Viterbo;Centro diurno;4;4;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Viterbo;DSM;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Viterbo;SRSR;1;1;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Viterbo;SRSR H24;1;1;"Conteggio di nodi/sedi; non sommare come posti letto."
ASL Viterbo;SerD;4;0;"Conteggio di nodi/sedi; non sommare come posti letto."
FR;DNA/DCA;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
FR;SPDC;3;0;"Conteggio di nodi/sedi; non sommare come posti letto."
LT;SPDC;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
LT;TSMREE/NPIA;4;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R1;DNA/DCA;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R1;SPDC;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R1;TSMREE/NPIA;6;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R2;DNA/DCA;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R2;SPDC;3;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R2;TSMREE/NPIA;3;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R3;Centro diurno;6;6;"Conteggio di nodi/sedi; non sommare come posti letto."
R3;SPDC;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R3;TSMREE/NPIA;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R4;Centro diurno;4;4;"Conteggio di nodi/sedi; non sommare come posti letto."
R4;DNA/DCA;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R4;Residenziale;1;1;"Conteggio di nodi/sedi; non sommare come posti letto."
R4;SPDC;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R5;DNA/DCA;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R5;SPDC;3;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R5;TSMREE/NPIA;3;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R6;DNA/DCA;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R6;SPDC;2;0;"Conteggio di nodi/sedi; non sommare come posti letto."
R6;TSMREE/NPIA;3;0;"Conteggio di nodi/sedi; non sommare come posti letto."
RI;DNA/DCA;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
RI;SPDC;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
VT;DNA/DCA;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
VT;SPDC;1;0;"Conteggio di nodi/sedi; non sommare come posti letto."
VT;TSMREE/NPIA;5;0;"Conteggio di nodi/sedi; non sommare come posti letto."
