id_fonte_v7_2;url;dominio;annualita_nell_url;origini_nel_dataset;territori_collegati;moduli_collegati;strutture_collegate;verifica_link_v7_2;moduli;strutture;ultima_verifica
F72-0011;https://ceis.viterbo.it/comunita-doppia-diagnosi/;ceis.viterbo.it;;moduli | verifica privata V7.2;Viterbo;MOD-056;Campus Calisto Felli;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0012;https://ceis.viterbo.it/comunita-terapeutica/;ceis.viterbo.it;;moduli | verifica privata V7.2;Viterbo;MOD-054;Santa Maria della Quercia;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0013;https://ceis.viterbo.it/strutture/;ceis.viterbo.it;;moduli | verifica privata V7.2;Viterbo;MOD-055;Palanzana;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0014;https://ceis.viterbo.it/wp-content/uploads/2022/09/carta-dei-servizi-rev-rev4-10-07-2023.pdf;ceis.viterbo.it;2022, 2023;moduli | verifica privata V7.2;Viterbo;MOD-056;Campus Calisto Felli;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0015;https://comunitaindialogo.it/;comunitaindialogo.it;;moduli | verifica privata V7.2;Frosinone;MOD-050 | MOD-051;In Dialogo — Il Casale | In Dialogo — Nuova Era;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0016;https://comunitaindialogo.it/centri-in-italia/nuova-era/;comunitaindialogo.it;;moduli | verifica privata V7.2;Frosinone;MOD-050;In Dialogo — Nuova Era;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0017;https://comunitamassimo.org/resources/carta-servizi-28-10-2019.pdf;comunitamassimo.org;2019;moduli | verifica privata V7.2;Roma 6;MOD-049;C. Massimo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0018;https://conteinrete.it/vademecum/;conteinrete.it;;rete pubblica | verifica rete pubblica V7.2;ASL Roma 6 | R6;;CSM Anzio/Nettuno | CSM Ariccia | CSM Ciampino | CSM Frascati | CSM Pomezia | CSM Velletri | SerD Anzio/Nettuno | SerD Ciampino | SerD Frascati | SerD Genzano | SerD Velletri | TSMREE Ariccia | TSMREE Frascati | TSMREE Velletri;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0019;https://gestivar.it/contatti/;gestivar.it;;moduli | verifica privata V7.2;Frosinone;MOD-094 | MOD-095 | MOD-097;Borgo San Tommaso | Montello / Gesti-Var;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0020;https://gestivar.it/le-strutture/;gestivar.it;;moduli | verifica privata V7.2;Frosinone;MOD-094 | MOD-095 | MOD-097;Borgo San Tommaso | Montello / Gesti-Var;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0021;https://irp.cdn-website.com/b4ea64a2/files/uploaded/MODELLO%20231%20SOGEPI%20SRL%202021%20.pdf;irp.cdn-website.com;2020, 2023;moduli | verifica privata V7.2;Frosinone;MOD-092 | MOD-093;Gli Oleandri | Le Palme;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0022;https://kosgroup.com/assets/doc/strutture/villa-armonia/dgr-conferma-requisiti-accreditamento.pdf;kosgroup.com;;moduli;Roma 3;MOD-001 | MOD-002 | MOD-003 | MOD-004 | MOD-005;Villa Armonia Nuova;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0023;https://mentiattive.aslfrosinone.it/il-progetto/;mentiattive.aslfrosinone.it;;rete pubblica | verifica rete pubblica V7.2;ASL Frosinone;;DSM Frosinone — riferimento organizzativo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0024;https://regione.lazio.it/urp/sintesi-concorsi-bur/sintesi-del-bollettino-ufficiale-n-106-del-27122022;regione.lazio.it;2022;rete pubblica | verifica rete pubblica V7.2;R6;;SPDC Ospedale dei Castelli | SPDC P.O. H1;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0025;https://reverie.it/;reverie.it;;moduli | verifica privata V7.2;Roma 1;MOD-106;Reverie – Comunità terapeutica romana;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0026;https://reverie.it/amministrazione-trasparente/;reverie.it;;moduli | verifica privata V7.2;Roma 1;MOD-106;Reverie – Comunità terapeutica romana;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0027;https://reverie.it/strutture/comunita-terapeutica-romana/;reverie.it;;moduli | verifica privata V7.2;Roma 1;MOD-106;Reverie – Comunità terapeutica romana;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0028;https://trasparenza.asl1abruzzo.it/page/103/details/247006/prestazioni-di-assistenza-psichiatrica-rete-privata-accreditata-sita-fuori-regione-liquidazione-fatture-gennaio-aprile-2026-presidio-sanitario-srtr-abaton-progetto-insieme-soc-progetto-insieme-srl-castelforte-lt.html;trasparenza.asl1abruzzo.it;2026;moduli;Latina;MOD-038;Abaton / Progetto Insieme Castelforte;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0029;https://trasparenza.asl1abruzzo.it/page/103/provvedimenti-organi-indirizzo-politico.html?p=20;trasparenza.asl1abruzzo.it;;moduli | verifica privata V7.2;Frosinone;MOD-094;Borgo San Tommaso;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0030;https://trasparenza.asl1abruzzo.it/page/9/details/188507/prestazioni-sanitarie-di-assistenza-psichiatrica-rete-privata-accreditata-insita-fuori-regione-liquidazione-fatture-maggio-giugno-2025-presidio-sanitario-srtr-le-palme-e-gli-oleandri-sogepi-srl-sant-elia-fiumerapido-fr.html;trasparenza.asl1abruzzo.it;2025;moduli | verifica privata V7.2;Frosinone;MOD-092 | MOD-093;Gli Oleandri | Le Palme;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0031;https://villamaraini.it/;villamaraini.it;;moduli;Roma 2;MOD-088 | MOD-089 | MOD-090;Fondazione Villa Maraini ETS;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0032;https://villamaraini.it/attivita/comunita-terapeudica-semiresidenziale/;villamaraini.it;;moduli;Roma 2;MOD-089;Fondazione Villa Maraini ETS;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0033;https://villamaraini.it/attivita/servizio-terapeutico-residenziale/;villamaraini.it;;moduli;Roma 2;MOD-088;Fondazione Villa Maraini ETS;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0034;https://villamariapia.com/ricoveri/;villamariapia.com;;moduli;Roma 1;MOD-019 | MOD-020 | MOD-021;Villa Maria Pia;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0035;https://viterbo.ospedaliere.it/psichiatria/;viterbo.ospedaliere.it;;moduli | verifica privata V7.2;Viterbo;MOD-034 | MOD-035 | MOD-036 | MOD-037;Villa Rosa;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0036;https://viterbo.ospedaliere.it/servizi-per-il-paziente/psichiatria/srsrh24-struttura-residenziale-socio-riabilitativa-24-ore/;viterbo.ospedaliere.it;;moduli | verifica privata V7.2;Viterbo;MOD-034 | MOD-035 | MOD-036 | MOD-037;Villa Rosa;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0037;https://viterbo.ospedaliere.it/servizi-per-il-paziente/stpit-struttura-per-trattamenti-psichiatrici-intensivi-territoriali/;viterbo.ospedaliere.it;;moduli;Viterbo;MOD-034 | MOD-035 | MOD-036 | MOD-037;Villa Rosa;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0038;https://viterbo.ospedaliere.it/wp-content/uploads/2024/05/I.03.01-1-carta-servizi-2024-rev.26.pdf;viterbo.ospedaliere.it;2024;moduli;Viterbo;MOD-034 | MOD-035 | MOD-036 | MOD-037;Villa Rosa;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0039;https://www.actalazio.it/;www.actalazio.it;;moduli | verifica privata V7.2;Viterbo;MOD-054;Santa Maria della Quercia;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0040;https://www.actalazio.it/c-massimo/;www.actalazio.it;;moduli;Roma 6;MOD-049;C. Massimo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0041;https://www.actalazio.it/dianova/;www.actalazio.it;;moduli;Roma 5;MOD-048;Dianova Palombara Sabina;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0042;https://www.actalazio.it/exodus-cassino/;www.actalazio.it;;moduli;Frosinone;MOD-052 | MOD-053;Exodus Cassino;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0043;https://www.actalazio.it/in-dialogo/;www.actalazio.it;;moduli;Frosinone;MOD-050 | MOD-051;In Dialogo — Il Casale | In Dialogo — Nuova Era;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0044;https://www.alberoblu.org/carta-dei-servizi;www.alberoblu.org;;moduli | verifica privata V7.2;Roma 1;MOD-103;Opera Don Calabria – Centro Diurno L’Alberoblu;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0045;https://www.approdocomunita.org/;www.approdocomunita.org;;moduli | verifica privata V7.2;Roma 6;MOD-060;L’Approdo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0046;https://www.approdocomunita.org/chi-siamo/;www.approdocomunita.org;;moduli | verifica privata V7.2;Roma 6;MOD-060;L’Approdo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0047;https://www.approdocomunita.org/come-accedere/;www.approdocomunita.org;;moduli;Roma 6;MOD-060;L’Approdo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0048;https://www.approdocomunita.org/contattaci/;www.approdocomunita.org;;moduli | verifica privata V7.2;Roma 6;MOD-060;L’Approdo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0049;https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;FR;;SPDC Cassino | SPDC Frosinone-Alatri | SPDC Sora;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0050;https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-patologie-da-dipendenza-frosinone-alatri-anagni-sora/;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;ASL Frosinone;;SerD Cassino | SerD Frosinone;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0051;https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-patologie-da-dipendenza-frosinone-alatri-anagni-sora/uos-serd-ceccano/;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;ASL Frosinone;;SerD Ceccano;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0052;https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-patologie-da-dipendenza-frosinone-alatri-anagni-sora/uos-serd-sora/;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;ASL Frosinone;;SerD Sora;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0053;https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-residenzialita-e-semiresidenzialita/;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;ASL Frosinone;;UOC Residenzialità e Semiresidenzialità;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0054;https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-residenzialita-e-semiresidenzialita/uos-centri-diurni/;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;ASL Frosinone;;Centro Diurno Il Sentiero | Centro Diurno Isola del Liri | Centro Diurno La Bussola | Centro Diurno Oltre il Muro | Centro Diurno Orizzonti Aperti;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0055;https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-cassino/;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;ASL Frosinone;;CSM Cassino | CSM Pontecorvo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0056;https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;ASL Frosinone;;Ambulatorio CSM Sora — Atina | CSM Alatri | CSM Anagni | CSM Ceccano | CSM Frosinone | Punto CSM / PEP Ferentino | Punto CSM / PEP Veroli | Punto di erogazione CSM Ceprano;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0057;https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/uos-csm-sora/;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;ASL Frosinone;;CSM Sora;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0058;https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uosd-disturbi-del-comportamento-alimentare/;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;FR;;UOSD Disturbi Nutrizione e Alimentazione;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0059;https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf;www.asl.fr.it;2025;moduli;Frosinone;MOD-092 | MOD-093 | MOD-094 | MOD-095 | MOD-096 | MOD-097 | MOD-098;Borgo San Tommaso | Gli Oleandri | Le Palme | Montello / Gesti-Var | San Nicola – Belmonte | Villa Lucrezia – Il Castello Incantato;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0060;https://www.asl.fr.it/wp-content/uploads/PDEL_1255_DEL_01.12.2022_ALL.1_PAP_FROSINONE-1.pdf;www.asl.fr.it;2022;moduli;Frosinone;MOD-092 | MOD-093 | MOD-094 | MOD-095 | MOD-096 | MOD-097 | MOD-098;Borgo San Tommaso | Gli Oleandri | Le Palme | Montello / Gesti-Var | San Nicola – Belmonte | Villa Lucrezia – Il Castello Incantato;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0061;https://www.asl.fr.it/wp-content/uploads/avviso-struttura-complessa-RESIDENZIALITA-E-SEMIRESIDENZIALITA.pdf;www.asl.fr.it;;rete pubblica | verifica rete pubblica V7.2;ASL Frosinone;;SRTRe Franco Basaglia | SRTRe Maxwell Jones | SRTRe Romolo Priori;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0062;https://www.asl.rieti.it/;www.asl.rieti.it;;rete pubblica | verifica rete pubblica V7.2;RI;;Ambulatorio Disturbi Nutrizione e Alimentazione Rieti;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0063;https://www.asl.rieti.it/guida-ai-servizi/disturbo-da-gioco-dazzardo;www.asl.rieti.it;;rete pubblica | verifica rete pubblica V7.2;ASL Rieti;;SerD Poggio Mirteto | SerD Rieti;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0064;https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti-aree-e-staff/dipartimento-tutela-e-promozione-della-salute-mentale/uoc-patologia-da-dipendenza/alcologia-e-patologie-correlate/;www.asl.rieti.it;;rete pubblica | verifica rete pubblica V7.2;ASL Rieti;;Alcologia e patologie correlate Rieti;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0065;https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-servizio-psichiatrico-di-diagnosi-e-cura-spdc;www.asl.rieti.it;;rete pubblica | verifica rete pubblica V7.2;RI;;SPDC San Camillo de Lellis;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0066;https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale;www.asl.rieti.it;;rete pubblica | verifica rete pubblica V7.2;ASL Rieti;;DSM Rieti — riferimento organizzativo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0067;https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/csm-distretto-2;www.asl.rieti.it;;rete pubblica | verifica rete pubblica V7.2;ASL Rieti;;Ambulatorio CSM Magliano Sabina | Ambulatorio CSM Osteria Nuova | Ambulatorio CSM Passo Corese | CSM Poggio Mirteto — Distretto 2;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0068;https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uos-attivita-terapeutico-riabilitative-per-i-disturbi-da-uso-di-sostanze-e-nuove-dipendenze;www.asl.rieti.it;;rete pubblica | verifica rete pubblica V7.2;ASL Rieti;;SerD Rieti | SerD interno Casa Circondariale Rieti Nuovo Complesso;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0069;https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1;www.asl.rieti.it;;rete pubblica | verifica rete pubblica V7.2;ASL Rieti;;Ambulatorio CSM Amatrice | Ambulatorio CSM Antrodoco | Ambulatorio CSM Leonessa | CSM Cicolano — Peschieta di Fiamignano | CSM Rieti — Distretto 1 | Centro Diurno Cicolano | Centro Diurno Rieti;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0070;https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-strutture-riabilitative-salute-mentale-e-rems;www.asl.rieti.it;;rete pubblica | verifica rete pubblica V7.2;ASL Rieti;;Comunità Terapeutico-Riabilitativa La Villa;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0071;https://www.asl.rieti.it/trasparency-e-privacy/amministrazione-trasparente/strutture-sanitarie-private-accreditate;www.asl.rieti.it;;moduli;Rieti;MOD-085;Villa Belvedere;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0072;https://www.asl.rieti.it/wp-content/uploads/2025/06/CONTRATTO_VILLA_BELVEDERE_ANNI_202502026.pdf;www.asl.rieti.it;2025, 2026;moduli;Rieti;MOD-085;Villa Belvedere;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0073;https://www.asl.rieti.it/wp-content/uploads/fileadmin/user_upload/23.06_all_2.1_ELENCO_DEFINITIVO_IMMOBILI_ASL.pdf;www.asl.rieti.it;;rete pubblica | verifica rete pubblica V7.2;ASL Rieti;;Centro Diurno Psichiatrico Melograno – Poggio Mirteto;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0074;https://www.asl.vt.it/ambulatorio-disturbi-della-nutrizione-e-dell-alimentazione-dna;www.asl.vt.it;;rete pubblica | verifica rete pubblica V7.2;VT;;Ambulatorio DNA Viterbo;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0075;https://www.asl.vt.it/spdc-servizio-psichiatrico-diagnosi-e-cura;www.asl.vt.it;;rete pubblica | verifica rete pubblica V7.2;VT;;SPDC Ospedale Santa Rosa;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0076;https://www.aslbenevento.it/en/albo-pretorio?page=9;www.aslbenevento.it;;moduli | verifica privata V7.2;Viterbo;MOD-091;Agatos – Comunità Francesco Giugliarelli;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0077;https://www.aslroma1.it/azienda-dipartimentieri/dipartimento-integrato-di-salute-mentale;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;R1;;SPDC San Filippo Neri;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0078;https://www.aslroma1.it/presidi-ospedalieri/reparti/spdc-santo-spirito;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;R1;;SPDC Santo Spirito;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0079;https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;Centro Diurno Palestro | Centro Diurno Plinio P.I.P.S.M. Polo Ovest | Centro Diurno Via Sabotino | Gruppo Appartamento Baccina | Gruppo Appartamento Bramante | Gruppo Appartamento Milizie | Gruppo Appartamento P.I.P.S.M. Oslavia | SRSR Via Giacomo Della Porta | SRTRe P.I.P.S.M. Ripa Grande | SRTRe Piatti;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0080;https://www.aslroma1.it/presidi-territoriali/Distretto%2013/lista_presidi;www.aslroma1.it;2013;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;Centro Diurno Valle Aurelia | Gruppo Appartamento Sodini | SRTRe Castel di Guido;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0081;https://www.aslroma1.it/presidi-territoriali/Distretto%2014/lista_presidi;www.aslroma1.it;2014;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;Centro Diurno Borromeo | Centro Diurno Gasparri | SRSR H12 Gasparri | SRTRe Casal Piombino PIPSM;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0082;https://www.aslroma1.it/presidi-territoriali/Distretto%2015/lista_presidi;www.aslroma1.it;2015;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;Centro Diurno Di Giorgio | Gruppo Appartamento Galline Bianche | Gruppo Appartamento Prima Porta | SRSR H12 Antonino Di Giorgio;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0083;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;Centro Diurno Boemondo | Centro Diurno Forte Antenne | Centro Diurno Sabrata P.I.P.S.M. Polo Est | Gruppo Appartamento Turchia | SRSR Nomentana | SRTRe Sabrata;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0084;https://www.aslroma1.it/presidi-territoriali/Distretto%203/lista_presidi;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;Centro Diurno Monte Tomatico | Centro Diurno Pasquariello | Gruppo Appartamento Quarrata | SRSR Via Scarpanto | SRTRe Marcigliana;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0085;https://www.aslroma1.it/presidi-territoriali/ambulatorio-disturbi-comportamento-alimentare;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;R1;;Ambulatorio DCA Santa Maria della Pietà;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0086;https://www.aslroma1.it/presidi-territoriali/ambulatorio-plinio-p-i-p-s-m-polo-ovest;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;PIPSM Plinio Polo Ovest;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0087;https://www.aslroma1.it/presidi-territoriali/ambulatorio-sabrata-p-i-p-s-m-polo-est;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;PIPSM Sabrata Polo Est;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0088;https://www.aslroma1.it/presidi-territoriali/centro-di-salute-mentale-plinio;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;CSM Plinio;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0089;https://www.aslroma1.it/presidi-territoriali/centro-di-salute-mentale-sabrata;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;CSM Sabrata;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0090;https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-boccea;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;CSM Boccea;"URL estratto dal dataset; disponibilità live non garantita";;;
F72-0091;https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-di-giorgio;www.aslroma1.it;;rete pubblica | verifica rete pubblica V7.2;ASL Roma 1;;CSM Antonino Di Giorgio;"URL estratto dal dataset; disponibilità live non garantita";;;
