service_key,denominazione,comune,indirizzo,qualita,motivo,fonte
rete:VT-01,DSM Viterbo — segreteria,Viterbo,ND — non documentato nelle fonti consultate,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/index.php/dsm-dipartimento-di-salute-mentale
rete:VT-03,CSM / ambulatorio Bagnoregio,Bagnoregio,"Via Fratelli Agosti 6, Bagnoregio",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-04,CSM / ambulatorio Canino,Canino,"Via Bachelet, Canino",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-05,CSM / ambulatorio Montalto di Castro,Montalto di Castro,"Strada Castrense snc, Villa Ilvana, Montalto di Castro",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-08,CSM / ambulatorio Tuscania,Tuscania,"Piazza F. Basile, Tuscania",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-09,CSM / ambulatorio Valentano,Valentano,"Via delle Mura Castellane 28, Valentano",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-10,CSM / ambulatorio Orte,Orte,"Via A. Gramsci 41, Orte",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-13,CSM / ambulatorio Capranica,Capranica,"Strada Cassia km 53.900, Capranica",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-14,CSM / ambulatorio Civita Castellana,Civita Castellana,"Via Francesco Petrarca snc, Civita Castellana",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-15,CSM / ambulatorio Fabrica di Roma,Fabrica di Roma,"Vicolo della Pace 2, Fabrica di Roma",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-17,CSM / ambulatorio Ronciglione,Ronciglione,"Via Ospedale Sant’Anna 17, Ronciglione",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-18,CSM / ambulatorio Vetralla,Vetralla,"Via Gilberto Pietrella 5, Vetralla",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-19,CSM / ambulatorio Vignanello,Vignanello,"Via Donatori di Sangue snc, Vignanello",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-21,SerD Tarquinia,Tarquinia,"Viale Igea, 1",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/droga-alcol-fumo-e-gioco-d-azzardo
rete:VT-22,SerD Viterbo,Viterbo,"Via M. M. Romiti, 86",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/droga-alcol-fumo-e-gioco-d-azzardo
rete:VT-23,SerD Civita Castellana,Civita Castellana,"Via Francesco Petrarca, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://asl.vt.it/droga-alcol-fumo-e-gioco-d-azzardo
rete:FR-01,DSM Frosinone — riferimento organizzativo,Frosinone,"Via A. Fabi, Palazzina P",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://mentiattive.aslfrosinone.it/il-progetto/
rete:FR-02,CSM Frosinone,Frosinone,"Via Armando Fabi, snc",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/
rete:FR-03,CSM Alatri,Alatri,"Strada statale per Fiuggi, località La Donna, 1–3",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/
rete:FR-05,CSM Ceccano,Ceccano,"Borgo Santa Lucia, 52",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/
rete:FR-08,CSM Pontecorvo,Pontecorvo,"Via San Giovanni Battista, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-cassino/
rete:FR-10,SerD Ceccano,Ceccano,Borgo Santa Lucia,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-patologie-da-dipendenza-frosinone-alatri-anagni-sora/uos-serd-ceccano/
rete:FR-11,SerD Frosinone,Frosinone,"Via A. Fabi, Palazzina P",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-patologie-da-dipendenza-frosinone-alatri-anagni-sora/
rete:FR-13,Punto di erogazione CSM Ceprano,Ceprano,Viale Regina Margherita — ex Ospedale Civico,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/
rete:FR-14,Punto CSM / PEP Ferentino,Ferentino,ND — non documentato nelle fonti consultate,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/
rete:FR-15,Punto CSM / PEP Veroli,Veroli,ND — non documentato nelle fonti consultate,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/
rete:LT-01,Direzione DSM Latina,Latina,"Viale Le Corbusier, Centro commerciale, scala C, Latina",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm
rete:LT-03,CSM Cisterna di Latina,Cisterna di Latina,"Via G. Falcone snc, Cisterna di Latina",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm
rete:LT-04,CSM Latina,Latina,"Viale Le Corbusier, scala F, Latina. Piano/interno da confermare: nel testo n. 23, nella tabella secondo piano n. 36.",D,Nessun pin: indirizzo sorgente non consolidato,https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm
rete:LT-06,CSM Monti Lepini — Sezze,Sezze,"Via S. Bartolomeo 1, Sezze",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm
rete:LT-10,CSM Formia,Formia,"Via Lavagna 43, Formia",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm
rete:LT-15,SerD Formia,Formia,"Via Appia lato Napoli, Formia",D,Nessun pin: civico diverso o non confrontabile; candidati omonimi o segmenti troppo distanti,https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm
rete:NET-008,TSMREE Cassia,Roma,"Via Cassia, 472",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.aslroma1.it/servizi-tsmree-tutela-salute-mentale-e-riabilitazione-dell-eta-evolutiva
rete:NET-017,SPDC Ospedale Sandro Pertini,Roma,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma2.it/index.php/organizzazione/dipartimenti/dip-di-salute-mentale
rete:NET-018,SPDC Ospedale Sant'Eugenio,Roma,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma2.it/index.php/organizzazione/dipartimenti/dip-di-salute-mentale
rete:NET-019,SPDC Ospedale San Giovanni,Roma,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma2.it/index.php/organizzazione/dipartimenti/dip-di-salute-mentale
rete:NET-023,TSMREE Torrenova,Roma,"Via di Torrenova, 20",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.aslroma2.it/index.php/organizzazione/dipartimenti/dip-di-salute-mentale
rete:NET-033,SPDC Ospedale San Paolo,Civitavecchia,Ospedale San Paolo,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma4.it/azienda/dipartimenti/dipartimento-di-salute-mentale
rete:NET-050,UOSD DNA Palombara Sabina,Palombara Sabina,"Piazza Salvo D'Acquisto, snc - Piano 4",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/disturbi-alimentari/
rete:NET-052,NPIA Subiaco,Subiaco,"Largo Giuseppe Mazzini, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/cosa-sono-le-npia/npia-di-subiaco-e-olevano-romano/
rete:NET-053,NPIA Olevano Romano,Olevano Romano,"Piazzale San Francesco d'Assisi, 103",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/cosa-sono-le-npia/npia-di-subiaco-e-olevano-romano/
rete:NET-054,SPDC Ospedale dei Castelli,Ariccia,Ospedale dei Castelli - Via Nettunense,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://regione.lazio.it/urp/sintesi-concorsi-bur/sintesi-del-bollettino-ufficiale-n-106-del-27122022
rete:NET-055,SPDC P.O. H1,Frascati,Ospedale San Sebastiano,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://regione.lazio.it/urp/sintesi-concorsi-bur/sintesi-del-bollettino-ufficiale-n-106-del-27122022
rete:NET-057,TSMREE Frascati,Frascati,"Via E. Fermi, snc",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://conteinrete.it/vademecum/
rete:NET-061,Ambulatorio Disturbi Alimentari Ospedale dei Castelli,Ariccia,Via Nettunense - Ospedale dei Castelli,D,"Nessun pin: POI privo di civico, non prova la sede",https://www.salutelazio.it/
rete:NET-062,SPDC San Camillo de Lellis,Rieti,"Ospedale San Camillo de Lellis - Blocco C Arancio, piano 1",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-servizio-psichiatrico-di-diagnosi-e-cura-spdc
rete:NET-065,Ambulatorio Disturbi Nutrizione e Alimentazione Rieti,Rieti,"Palazzo Dosi Delfini, Piazza Vittorio Emanuele II, 17",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/
rete:NET-066,SPDC Ospedale Santa Rosa,Viterbo,"Ospedale Santa Rosa, Strada Sammartinese - Blocco D, piano 2",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.vt.it/spdc-servizio-psichiatrico-diagnosi-e-cura
rete:NET-073,Ambulatorio DNA Viterbo,Viterbo,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.vt.it/ambulatorio-disturbi-della-nutrizione-e-dell-alimentazione-dna
rete:NET-074,SPDC Frosinone-Alatri,Alatri,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/
rete:NET-075,SPDC Cassino,Cassino,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/
rete:NET-076,SPDC Sora,Sora,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/
rete:NET-082,UOSD Disturbi Nutrizione e Alimentazione,Frosinone,Via Armando Fabi - Palazzina L,D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uosd-disturbi-del-comportamento-alimentare/
rete:NET-084,SPDC Latina - Ospedale S.M. Goretti,Latina,"Ospedale Santa Maria Goretti, Latina",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm
rete:NET-085,SPDC Formia - Ospedale Dono Svizzero,Formia,"Ospedale Dono Svizzero, Formia",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm
rete:NET-091,NPIA Fondi,Fondi,"Ospedale San Giovanni di Dio, Via San Magno",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ausl.latina.it/dipartimenti/31-azienda/449-dsm
rete:NET-092,NPIA Gaeta,Gaeta,"Ospedale L. Di Liegro, Via Salita Cappuccini, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ausl.latina.it/dipartimenti/31-azienda/449-dsm
rete:NET-030,Centro Diurno Monteverde,Roma,"Via Crescenzo dal Monte, 13",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xii/
rete:NET-037,Centro Diurno Riabilitativo Distretto 4,Campagnano di Roma,"Via B. Lesen 9–11, Campagnano di Roma",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale
rete:NET-038,SRTRe Il Melograno,Bracciano,"Via Fra Giovanni 38, Bracciano",D,Nessun pin: via troppo estesa per un pin univoco,https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale
rete:NET-015,SRSR Nomentana,Roma,"Via Nomentana, 54",D,Nessun pin: civico diverso o non confrontabile; candidati omonimi o segmenti troppo distanti,https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi
rete:NET-044,Centro Diurno Monterotondo,Monterotondo,Non documentato,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/amministrazione-trasparente/organigramma-dipartimento-di-prevenzione-e-dsmdp-2025/
rete:NET-046,Centro Diurno Subiaco,Subiaco,"Via Repubblica, snc",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/centro-diurno-di-subiaco/
rete:NET-056,Centro Diurno Pomezia,Pomezia,Casa della Comunità HUB Pomezia,D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.regione.lazio.it/notizie/sanita-inaugurata-la-casa-della-comunita-di-pomezia
rete:NET-063,Centro Diurno Rieti,Rieti,"Via Tavola d’Argento 19, Rieti",D,Nessun pin: via troppo estesa per un pin univoco,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
rete:NET-064,Centro Diurno Cicolano,Fiamignano,"Via Don Agostino Gismondi 2, Peschieta di Fiamignano",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
rete:NET-077,Centro Diurno Orizzonti Aperti,Frosinone,"Viale Mazzini, Distretto Sanitario, Frosinone",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-residenzialita-e-semiresidenzialita/uos-centri-diurni/
rete:NET-078,Centro Diurno Oltre il Muro,Ceccano,"Via Marano snc, Ceccano",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-residenzialita-e-semiresidenzialita/uos-centri-diurni/
rete:NET-083,UOC Residenzialità e Semiresidenzialità,Frosinone,"Via Fabi, snc - Palazzina M",D,Nessun pin: candidati omonimi o segmenti troppo distanti,https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-residenzialita-e-semiresidenzialita/
rete:NET-093,Comunità Terapeutica Santa Fecitola,Latina,"Via Tor Tre Ponti, Latina",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm
rete:PUB72-R1-006,Gruppo Appartamento Milizie,Roma,"Via delle Milizie, 3",D,Nessun pin: indirizzo non sufficiente o nessun riscontro cartografico coerente,https://www.aslroma1.it/presidi-territoriali/Distretto%201/lista_presidi
