"dataset";"id";"nome";"asl";"stato_v7_6";"data_riesame_parziale";"campi_riesaminati";"fonti_riesame";"data_originale";"note"
"rete";"R1-11";"CSM Ventura";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale";"2026-09-19";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-12";"CSM Antonino Di Giorgio";"ASL Roma 1";"riesame_parziale";"2026-09-21";"telefono | orari";"https://www.aslroma1.it/salute-mentale";"2026-09-19";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-13";"SerD Riari";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R1-14";"Nuove Dipendenze — sede temporanea Palestro";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R1-15";"SerD Nomentana";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R1-16";"SerD Montesacro";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R1-17";"SerD Marcigliana";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R1-18";"SerD Santa Maria della Pietà";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R1-19";"Polo Integrato Salute Mentale Cassia";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R1-20";"PIPSM Plinio Polo Ovest";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R1-21";"PIPSM Sabrata Polo Est";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R1-22";"Coordinamento sportelli Scuola-Salute";"ASL Roma 1";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R2-01";"DSM Roma 2 — coordinamento";"ASL Roma 2";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-19";"Riferimento della direzione nella Carta 2025; non sportello di prenotazione clinica."
"rete";"R2-02";"CSM Bardanzellu";"ASL Roma 2";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | accesso";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-19";"Rilettura documentale della Carta 2025: non attestazione del rinnovo operativo 2026. Orario di apertura distinto dall’accesso diretto."
"rete";"R2-03";"CSM Casilina";"ASL Roma 2";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | accesso";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-19";"Rilettura documentale della Carta 2025: non attestazione del rinnovo operativo 2026. Orario di apertura distinto dall’accesso diretto."
"rete";"R2-04";"CSM Eucalipti";"ASL Roma 2";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | accesso";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-19";"Rilettura documentale della Carta 2025: non attestazione del rinnovo operativo 2026. Orario di apertura distinto dall’accesso diretto."
"rete";"R2-05";"CSM Torre Spaccata";"ASL Roma 2";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | accesso";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-19";"Rilettura documentale della Carta 2025: non attestazione del rinnovo operativo 2026. Orario di apertura distinto dall’accesso diretto."
"rete";"R2-06";"CSM Monza";"ASL Roma 2";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | accesso";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-19";"Rilettura documentale della Carta 2025: non attestazione del rinnovo operativo 2026. Orario di apertura distinto dall’accesso diretto."
"rete";"R2-07";"CSM Cinecittà";"ASL Roma 2";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | accesso";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-19";"Rilettura documentale della Carta 2025: non attestazione del rinnovo operativo 2026. Orario di apertura distinto dall’accesso diretto."
"rete";"R2-08";"CSM Tosti";"ASL Roma 2";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | accesso";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-19";"Rilettura documentale della Carta 2025: non attestazione del rinnovo operativo 2026. Orario di apertura distinto dall’accesso diretto."
"rete";"R2-09";"CSM Orio Vergani";"ASL Roma 2";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | accesso";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-19";"Rilettura documentale della Carta 2025: non attestazione del rinnovo operativo 2026. Orario di apertura distinto dall’accesso diretto."
"rete";"R2-10";"SerD Distretto 4 — ospitato altrove";"ASL Roma 2";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R2-11";"SerD Distretto 5";"ASL Roma 2";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R2-12";"SerD Distretto 6";"ASL Roma 2";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R2-13";"SerD Distretto 7";"ASL Roma 2";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | accesso | orari";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-19";"Orario unificato dalle due fasce sovrapposte esplicitamente riportate per mar/gio."
"rete";"R2-14";"SerD Distretto 8";"ASL Roma 2";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R2-15";"SerD Distretto 9";"ASL Roma 2";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R2-16";"Alcologia Appia Antica";"ASL Roma 2";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R2-17";"SerD Rebibbia";"ASL Roma 2";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-01";"Direzione DSM Roma 3";"ASL Roma 3";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email";"https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/";"2026-09-19";""
"rete";"R3-02";"CSM Ostia";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-03";"CSM Acilia — ambulatorio decentrato";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-04";"CSM Fiumicino";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-05";"CSM Municipio XI — Portuense";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-06";"CSM Municipio XII — Giovagnoli";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-07";"SerD Tagaste";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-08";"SerD Casaletto";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-09";"Sportello Ascolto Giovani Dipendenze — Fiumicino";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-10";"Sportello Ascolto Giovani Dipendenze — Ostia";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-11";"Sportello Ascolto Giovani Dipendenze — Colautti";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R3-12";"PDTA fragilità minori e giovani — Lupatelli";"ASL Roma 3";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R4-01";"Direzione DSM Roma 4";"ASL Roma 4";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R4-02";"CSM Distretto 1 — Civitavecchia";"ASL Roma 4";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | destinatari | accesso";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"2026-09-19";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-03";"CSM Distretto 2 — Ladispoli";"ASL Roma 4";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | destinatari | accesso";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"2026-09-19";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-04";"CSM Distretto 3 — Bracciano";"ASL Roma 4";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | destinatari | accesso";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"2026-09-19";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-05";"CSM Distretto 4 — Morlupo";"ASL Roma 4";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari | destinatari | accesso";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"2026-09-19";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-06";"SerD Civitavecchia";"ASL Roma 4";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R4-07";"SerD Bracciano";"ASL Roma 4";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R4-08";"SerD Capena";"ASL Roma 4";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R5-01";"Direzione DSM-DP Roma 5";"ASL Roma 5";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R5-02";"CSM Guidonia";"ASL Roma 5";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-guidonia/";"2026-09-19";""
"rete";"R5-03";"CSM Monterotondo";"ASL Roma 5";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-monterotondo/";"2026-09-19";""
"rete";"R5-04";"CSM Subiaco";"ASL Roma 5";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-subiaco/";"2026-09-19";""
"rete";"R5-05";"CSM Tivoli";"ASL Roma 5";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-tivoli/";"2026-09-19";""
"rete";"R5-06";"CSM Colleferro";"ASL Roma 5";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-di-colleferro-e-palestrina/uos-csm-di-colleferro/";"2026-09-19";""
"rete";"R5-07";"CSM Palestrina";"ASL Roma 5";"riesame_parziale";"2026-09-21";"indirizzo | telefono | email | orari";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-di-colleferro-e-palestrina/uos-csm-di-palestrina/";"2026-09-19";""
"rete";"R5-08";"SerD Monterotondo";"ASL Roma 5";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R5-09";"SerD Tivoli/Guidonia";"ASL Roma 5";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R5-10";"SerD Colleferro";"ASL Roma 5";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R5-11";"SerD Palestrina";"ASL Roma 5";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R5-12";"SerD Subiaco";"ASL Roma 5";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-01";"Direzione DSM, NPIA e Dipendenze Roma 6";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-02";"CSM Anzio/Nettuno";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-03";"CSM Pomezia";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-04";"CSM Velletri";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-05";"CSM Ciampino";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-06";"CSM Frascati";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-07";"SerD Anzio/Nettuno";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-08";"SerD Ciampino";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-09";"SerD Frascati";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-10";"SerD Genzano";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-11";"SerD Velletri";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"R6-12";"CSM Ariccia";"ASL Roma 6";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"RI-01";"DSM Rieti — riferimento organizzativo";"ASL Rieti";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"RI-02";"CSM Rieti — Distretto 1";"ASL Rieti";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1";"2026-09-19";"Riscontro limitato al contenuto indicizzato del dominio ASL; pagina integrale non acquisibile. Non equivale a verifica operativa 2026."
"rete";"RI-03";"CSM Poggio Mirteto — Distretto 2";"ASL Rieti";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"RI-04";"CSM Cicolano — Peschieta di Fiamignano";"ASL Rieti";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1";"2026-09-19";"Riscontro limitato al contenuto indicizzato del dominio ASL; pagina integrale non acquisibile. Non equivale a verifica operativa 2026."
"rete";"RI-05";"SerD Rieti";"ASL Rieti";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"RI-06";"SerD Poggio Mirteto";"ASL Rieti";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"RI-07";"Alcologia e patologie correlate Rieti";"ASL Rieti";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"RI-08";"Ambulatorio CSM Leonessa";"ASL Rieti";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1";"2026-09-19";"Riscontro limitato al contenuto indicizzato del dominio ASL; pagina integrale non acquisibile. Non equivale a verifica operativa 2026."
"rete";"RI-09";"Ambulatorio CSM Antrodoco";"ASL Rieti";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1";"2026-09-19";"Riscontro limitato al contenuto indicizzato del dominio ASL; pagina integrale non acquisibile. Non equivale a verifica operativa 2026."
"rete";"RI-10";"Ambulatorio CSM Amatrice";"ASL Rieti";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"RI-11";"Ambulatorio CSM Passo Corese";"ASL Rieti";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"RI-12";"Ambulatorio CSM Magliano Sabina";"ASL Rieti";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"RI-13";"Ambulatorio CSM Osteria Nuova";"ASL Rieti";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"RI-14";"SerD interno Casa Circondariale Rieti Nuovo Complesso";"ASL Rieti";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"VT-01";"DSM Viterbo — segreteria";"ASL Viterbo";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"VT-02";"CSM / ambulatorio Acquapendente";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-03";"CSM / ambulatorio Bagnoregio";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-04";"CSM / ambulatorio Canino";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-05";"CSM / ambulatorio Montalto di Castro";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente. La pagina acquisita riporta strada Castrense; altra versione indicizzata riporta Via della Stazione. Confermare la sede prima di recarsi: non attestato un trasferimento nel 2026."
"rete";"VT-06";"CSM / ambulatorio Montefiascone";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-07";"CSM / ambulatorio Tarquinia";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-08";"CSM / ambulatorio Tuscania";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-09";"CSM / ambulatorio Valentano";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-10";"CSM / ambulatorio Orte";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-11";"CSM / ambulatorio Soriano nel Cimino";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-12";"CSM / ambulatorio Viterbo";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-13";"CSM / ambulatorio Capranica";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-14";"CSM / ambulatorio Civita Castellana";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-15";"CSM / ambulatorio Fabrica di Roma";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-16";"CSM / ambulatorio Nepi";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-17";"CSM / ambulatorio Ronciglione";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-18";"CSM / ambulatorio Vetralla";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-19";"CSM / ambulatorio Vignanello";"ASL Viterbo";"riesame_parziale";"2026-09-21";"indirizzo | telefono | orari";"https://asl.vt.it/csm-centro-di-salute-mentale";"2026-09-19";"Informazioni di sede riscontrate nella pagina pubblica ASL con aggiornamento dichiarato 16/04/2025; disponibilità attuale non confermata telefonicamente."
"rete";"VT-20";"SerD Montefiascone";"ASL Viterbo";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"VT-21";"SerD Tarquinia";"ASL Viterbo";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"VT-22";"SerD Viterbo";"ASL Viterbo";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"VT-23";"SerD Civita Castellana";"ASL Viterbo";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-01";"DSM Frosinone — riferimento organizzativo";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-02";"CSM Frosinone";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-03";"CSM Alatri";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-04";"CSM Anagni";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-05";"CSM Ceccano";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-06";"CSM Sora";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-07";"CSM Cassino";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-08";"CSM Pontecorvo";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-09";"SerD Cassino";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-10";"SerD Ceccano";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-11";"SerD Frosinone";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-12";"SerD Sora";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-13";"Punto di erogazione CSM Ceprano";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-14";"Punto CSM / PEP Ferentino";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
"rete";"FR-15";"Punto CSM / PEP Veroli";"ASL Frosinone";"non_riesaminato";"";"";"";"2026-09-19";""
