id;nome;asl;tipo;comune;indirizzo;telefono;email;servizi;attribuzione_servizi;accesso;orari;fonte;gestione;verifica;ultima_verifica;note;origine_dato_v7;stato_riesame_v7;nota_temporale_v7;titolarita_v6;esito_v6;fonte_v6;livello_prova_v6;note_v6;origine_record_v7_2;stato_verifica_v7_2;fonte_verifica_v7_2;data_verifica_v7_2;note_v7_2
R1-11;CSM Ventura;ASL Roma 1;CSM;Roma;Via Ventura, 60;0660106040;ND — non documentato nelle fonti consultate;"Accoglienza/accesso diretto; attività diagnostica, terapeutica e assistenziale; consulenze in ospedali e RSA; pronto intervento psichiatrico attivato da ARES 118; raccordo con SPDC e strutture psichiatriche residenziali/semiresidenziali; interventi con i familiari.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-ventura;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-ventura;;
R1-12;CSM Antonino Di Giorgio;ASL Roma 1;CSM;Roma;Via Antonino Di Giorgio, 19;0660105090;ND — non documentato nelle fonti consultate;"Accoglienza/accesso diretto; attività diagnostica, terapeutica e assistenziale; consulenze in ospedali e RSA; pronto intervento psichiatrico attivato da ARES 118; raccordo con SPDC e strutture psichiatriche residenziali/semiresidenziali; interventi con i familiari. La sede è collegata al Polo Cassia integrato per bisogni complessi, prioritariamente per residenti del Distretto 15 fino a 30 anni.";Sede specifica — pagina istituzionale ASL della singola sede;Accesso diretto o tramite PUA/servizio territoriale secondo le modalità della sede;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-di-giorgio;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-di-giorgio;;
R1-13;SerD Riari;ASL Roma 1;SerD;Roma;Via dei Riari, 48;0660105910 / 0660105914;uosdip.ovest1@aslroma1.it;"Oppioidi e alcol; altre dipendenze negli adulti oltre 25 anni";Dato già presente nel censimento precedente;"Accesso diretto o con appuntamento telefonico; non serve richiesta MMG; documento di identità necessario";"Lun 08:15–12:30 e 14:00–18:00; mar 08:15–12:30 e 14:00–15:00; mer–gio 08:15–12:30 e 14:00–18:00; ven 08:15–12:30 e 14:00–15:00";https://www.aslroma1.it/presidi-territoriali/serd-via-dei-riari;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/serd-via-dei-riari;;
R1-14;Nuove Dipendenze — sede temporanea Palestro;ASL Roma 1;SerD;Roma;Via Palestro, 39;0660105589 / 0660105590;uosnuovedipendenze@aslroma1.it;"Gioco d’azzardo e dipendenze comportamentali; altre sostanze entro 25 anni";Dato già presente nel censimento precedente;"Accesso diretto o telefonico; gratuito; senza richiesta MMG";"Orari della UOS pubblicati: lun-mar-gio 08:00–13:00 e 14:00–19:00; mer 08:00–11:00 e 14:00–19:00; ven 08:00–14:00";https://www.aslroma1.it/presidi-territoriali/serd-via-dei-frentani;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;"La pagina generale ASL indica la UOS temporaneamente spostata al CSM di Via Palestro 39; la pagina dedicata continua a riportare Via dei Frentani 6. Verificare la sede operativa prima dell'invio.";Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/serd-via-dei-frentani;;
R1-15;SerD Nomentana;ASL Roma 1;SerD;Roma;Via Nomentana, 2/b;0660105383;uosdip.est2@aslroma1.it;"Trattamento dipendenze; percorso a bassa soglia per persone STP/ENI in trattamento con agonisti oppioidi";Dato già presente nel censimento precedente;"Diretto/telefonico; gratuito; senza richiesta MMG";"Lun-mar 08:00–15:30; mer 08:00–16:00; gio-ven 08:00–14:30";https://www.aslroma1.it/presidi-territoriali/serd-nomentana-2b;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/serd-nomentana-2b;;
R1-16;SerD Montesacro;ASL Roma 1;SerD;Roma;Via Montesacro, 8;0660105310;uosdip.est3@aslroma1.it;"Trattamenti con agonisti oppioidi; valutazioni nelle persone oltre 25 anni";Dato già presente nel censimento precedente;Diretto o telefonico, senza prescrizione del medico;"Lun 08:00–14:30; mar 08:00–12:00 e 14:00–18:00; mer–ven 08:00–14:30";https://www.aslroma1.it/presidi-territoriali/serd-via-montesacro;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/serd-via-montesacro;;
R1-17;SerD Marcigliana;ASL Roma 1;SerD;Roma;Salita della Marcigliana, 27;0660105064;uosdip.est3@aslroma1.it;Alcol, gioco d’azzardo e sostanze non oppioidi negli adulti oltre 25 anni;Dato già presente nel censimento precedente;Diretto o telefonico, senza prescrizione del medico;"Lun 08:00–18:00; mar–gio 08:00–15:00; ven 08:00–18:00";https://www.aslroma1.it/presidi-territoriali/servizio-dipendenze-marcigliana-serd;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;"La pagina generale ASL e vecchi elenchi riportano anche il civico 57; la pagina dedicata aggiornata il 16/09/2026 e la lista presidi distinguono il SerD al civico 27 dal Presidio Marcigliana al civico 57.";Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/servizio-dipendenze-marcigliana-serd;;
R1-18;SerD Santa Maria della Pietà;ASL Roma 1;SerD;Roma;Piazza Santa Maria della Pietà, 5;0660106859;uosdip.ovest14@aslroma1.it;Trattamento delle dipendenze;Dato già presente nel censimento precedente;Diretto o telefonico, senza prescrizione del medico;"Lun 08:00–13:30 e 14:30–19:00; mar 08:00–12:00; mer–ven 08:00–15:00";https://www.aslroma1.it/presidi-territoriali/serd-s-maria-della-pieta;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/serd-s-maria-della-pieta;;
R1-19;Polo Integrato Salute Mentale Cassia;ASL Roma 1;Polo integrato / dipendenze giovani;Roma;Via Cassia, 472;0660105609;uosnuovedipendenze@aslroma1.it;"Dipendenze comportamentali e sostanze non oppioidi; giovani fino a 30 anni";Dato già presente nel censimento precedente;Tramite PUA di Via Cassia 472;Mar e gio 08:30–12:30;https://www.aslroma1.it/presidi-territoriali/polo-integrato-salute-mentale-cassia;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/polo-integrato-salute-mentale-cassia;;
R1-20;PIPSM Plinio Polo Ovest;ASL Roma 1;Interventi precoci / giovani;Roma;Via Plinio, 31;0660105846 / 0660105862;uoc.pipsm@aslroma1.it;"Accoglienza; valutazione del disagio giovanile; diagnosi e interventi terapeutici precoci; collegamento scuola e servizi";Dato già presente nel censimento precedente;"Primo contatto diretto; anche tramite famiglia, scuola o servizi";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma1.it/presidi-territoriali/ambulatorio-plinio-p-i-p-s-m-polo-ovest;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/ambulatorio-plinio-p-i-p-s-m-polo-ovest;;
R1-21;PIPSM Sabrata Polo Est;ASL Roma 1;Interventi precoci / giovani;Roma;Via Sabrata, 12;0660105935;ND — non documentato nelle fonti consultate;"Primo riferimento per disagio psichico giovanile; prevenzione, cura e riabilitazione";Dato già presente nel censimento precedente;ND — non documentato nelle fonti consultate;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma1.it/presidi-territoriali/ambulatorio-sabrata-p-i-p-s-m-polo-est;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/presidi-territoriali/ambulatorio-sabrata-p-i-p-s-m-polo-est;;
R1-22;Coordinamento sportelli Scuola-Salute;ASL Roma 1;Ascolto / orientamento;Roma;Via Plinio, 31;0660105846;antonio.romano@aslroma1.it;Coordinamento di ascolto, promozione e prevenzione nelle scuole;Dato già presente nel censimento precedente;Contattare il coordinamento per scuole e sportelli aderenti;ND — non documentato nelle fonti consultate;https://www.aslroma1.it/sportello-ascolto;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma1.it/sportello-ascolto;;
R2-01;DSM Roma 2 — coordinamento;ASL Roma 2;DSM;Roma;Via Monza, 2;0651006526;ND — non documentato nelle fonti consultate;Coordinamento e documentazione dipartimentale;Dato già presente nel censimento precedente;Segreteria/direzione su appuntamento;ND — non documentato nelle fonti consultate;https://www.aslroma2.it/index.php/organizzazione/dipartimenti/dip-di-salute-mentale;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma2.it/index.php/organizzazione/dipartimenti/dip-di-salute-mentale;;
R2-02;CSM Bardanzellu;ASL Roma 2;CSM;Roma;Viale Battista Bardanzellu, 8;0641434992 / 0641434994;uoc.csmd4@aslroma2.it;"Prima valutazione multidisciplinare; visite psichiatriche e psicologiche; terapie farmacologiche e psicoterapie; consulenza con MMG/PLS e 118; servizio sociale; sostegno nelle crisi; ricovero volontario/TSO quando indicato; riabilitazione e risocializzazione; progetti individuali; inserimenti residenziali/semiresidenziali, centri diurni e tirocini; supporto all'abitare e alle famiglie; visite domiciliari; percorsi per utenti in REMS.";Profilo ufficiale comune alla rete CSM ASL Roma 2;Primo accesso diretto dell’interessato/familiare, senza ricetta salvo prestazioni medico-legali;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf;;
R2-03;CSM Casilina;ASL Roma 2;CSM;Roma;Via Casilina, 395;0651006227;uoc.csmd5@aslroma2.it;"Prima valutazione multidisciplinare; visite psichiatriche e psicologiche; terapie farmacologiche e psicoterapie; consulenza con MMG/PLS e 118; servizio sociale; sostegno nelle crisi; ricovero volontario/TSO quando indicato; riabilitazione e risocializzazione; progetti individuali; inserimenti residenziali/semiresidenziali, centri diurni e tirocini; supporto all'abitare e alle famiglie; visite domiciliari; percorsi per utenti in REMS.";Profilo ufficiale comune alla rete CSM ASL Roma 2;Primo accesso diretto dell’interessato/familiare, senza ricetta salvo prestazioni medico-legali;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf;;
R2-04;CSM Eucalipti;ASL Roma 2;CSM;Roma;Via degli Eucalipti, 20;0641436241;uos.eucalipti@aslroma2.it;"Prima valutazione multidisciplinare; visite psichiatriche e psicologiche; terapie farmacologiche e psicoterapie; consulenza con MMG/PLS e 118; servizio sociale; sostegno nelle crisi; ricovero volontario/TSO quando indicato; riabilitazione e risocializzazione; progetti individuali; inserimenti residenziali/semiresidenziali, centri diurni e tirocini; supporto all'abitare e alle famiglie; visite domiciliari; percorsi per utenti in REMS.";Profilo ufficiale comune alla rete CSM ASL Roma 2;Primo accesso diretto dell’interessato/familiare, senza ricetta salvo prestazioni medico-legali;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf;;
R2-05;CSM Torre Spaccata;ASL Roma 2;CSM;Roma;Via di Torre Spaccata, 157;0641435210;uoc.csmd6@aslroma2.it;"Prima valutazione multidisciplinare; visite psichiatriche e psicologiche; terapie farmacologiche e psicoterapie; consulenza con MMG/PLS e 118; servizio sociale; sostegno nelle crisi; ricovero volontario/TSO quando indicato; riabilitazione e risocializzazione; progetti individuali; inserimenti residenziali/semiresidenziali, centri diurni e tirocini; supporto all'abitare e alle famiglie; visite domiciliari; percorsi per utenti in REMS.";Profilo ufficiale comune alla rete CSM ASL Roma 2;Primo accesso diretto dell’interessato/familiare, senza ricetta salvo prestazioni medico-legali;"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf;Rete ASL — dato ereditato V4;Non riesaminato nella revisione residenziale V5;2026-09-19;;Rete_ASL_V6;Ereditata / non riesaminata nella V7;La data presente in 'ultima_verifica' non equivale a un nuovo riesame V7.;;;;;;Rete ASL V7.1;"Ereditato V7.1; non necessariamente ricontrollato nella V7.2";https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf;;
