id_modulo;denominazione;modulo;presente_v5;sezione_v5;stato_catalogo_v5;stato_v6;sezione_canonica_v7;stato_v7_1;stato_v7_2;stato_v7_3;sezione_canonica_v7_3
MOD-063;Operiamo Insieme;SRSR H12;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-064;Al Colle;SRSR H12;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-065;Insieme ONLUS;SRSR H12;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-066;Villa Maddalena;SRTRe;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-067;La Staffa;SRSR H24;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-068;Rosaurora;SRSR H24;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-069;Comunità Francesco;SRSR H24;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-070;Il Colle;SRSR H24;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-071;Villa Adriana;SRSR H24 — modulo1;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-072;Villa Adriana;SRSR H24 — modulo2;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-073;Villa Adriana;SRSR H24 — modulo3;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-074;Villa Adriana;SRSR H24 — modulo4;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-075;Castel Madama;SRSR H24 — modulo1;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-076;Castel Madama;SRSR H24 — modulo2;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-077;Villanova;SRSR H24 — modulo1;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-078;Villanova;SRSR H24 — modulo2;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-079;Villaggio Adriano;SRTRe — modulo1;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-080;Villaggio Adriano;SRTRe — modulo2;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-081;Canterano;SRTRe — modulo1;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-082;Canterano;SRTRe — modulo2;Sì;Da completare / escluse;Budget: contratto da comprovare;Promossa al catalogo convenzionato V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-083;Maieusis — Residenza terapeutica;SRTRe;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-084;Maieusis — Centro diurno;Centro diurno psichiatrico;Sì;Convenzionate;Convenzionata documentata;Ereditato V5;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-085;Villa Belvedere;SRTRe;No;;;Nuovo V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-086;Associazione La Tenda ETS;Comunità terapeutica semiresidenziale;No;;;Nuovo V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-087;IO Centro ETS;Comunità terapeutica semiresidenziale;No;;;Nuovo V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-088;Fondazione Villa Maraini ETS;Servizio Terapeutico Residenziale;No;;;Nuovo V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-089;Fondazione Villa Maraini ETS;Comunità terapeutica semiresidenziale diurna;No;;;Nuovo V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-090;Fondazione Villa Maraini ETS;Accoglienza semiresidenziale notturna SRRD;No;;;Nuovo V6;Convenzionate;Convenzionata documentata;Convenzionata documentata;Convenzionata documentata;Convenzionate
MOD-091;Agatos – Comunità Francesco Giugliarelli;SRTRe;No;;;Nuovo V6;Da verificare 2026;Convenzionata documentata – prestazioni extraregionali 2026;Convenzionata documentata – prestazioni extraregionali 2026;Convenzionata documentata – prestazioni extraregionali 2026;Convenzionate
MOD-092;Gli Oleandri;SRTRe;No;;;Nuovo V6;Da verificare 2026;Accreditata: contratto/prestazioni 2026 da comprovare;Accreditata: contratto/prestazioni 2026 da comprovare;Accreditata: contratto/prestazioni 2026 da comprovare;Da verificare 2026
MOD-093;Le Palme;SRTRe;No;;;Nuovo V6;Da verificare 2026;Accreditata: contratto/prestazioni 2026 da comprovare;Accreditata: contratto/prestazioni 2026 da comprovare;Accreditata: contratto/prestazioni 2026 da comprovare;Da verificare 2026
MOD-094;Borgo San Tommaso;SRTRe;No;;;Nuovo V6;Da verificare 2026;Convenzionata documentata – prestazioni extraregionali 2026;Convenzionata documentata – prestazioni extraregionali 2026;Convenzionata documentata – prestazioni extraregionali 2026;Convenzionate
MOD-095;Borgo San Tommaso;SRSR H24;No;;;Nuovo V6;Da verificare 2026;Accreditata: specifico rapporto 2026 SRSR H24 da comprovare;Accreditata: specifico rapporto 2026 SRSR H24 da comprovare;Accreditata: specifico rapporto 2026 SRSR H24 da comprovare;Da verificare 2026
MOD-096;San Nicola – Belmonte;SRSR;No;;;Nuovo V6;Da verificare 2026;Accreditata: rapporto SSN 2026 da comprovare;Accreditata: rapporto SSN 2026 da comprovare;Accreditata: rapporto SSN 2026 da comprovare;Da verificare 2026
MOD-097;Montello / Gesti-Var;SRTRe;No;;;Nuovo V6;Da verificare 2026;Accreditata: rapporto SSN 2026 da comprovare;Accreditata: rapporto SSN 2026 da comprovare;Accreditata: rapporto SSN 2026 da comprovare;Da verificare 2026
MOD-098;Villa Lucrezia – Il Castello Incantato;SRSR H12;No;;;Nuovo V6;Da verificare 2026;Accreditata: contratto/budget 2026 da comprovare;Accreditata: contratto/budget 2026 da comprovare;Accreditata: contratto/budget 2026 da comprovare;Da verificare 2026
MOD-099;Struttura Residenziale Psichiatrica San Valentino;STPIT;No;;;Non presente;;Accreditata: convenzione/contratto 2026 da comprovare;Accreditata: convenzione/contratto 2026 da comprovare;Accreditata: convenzione/contratto 2026 da comprovare;STPIT
MOD-100;Struttura Residenziale Psichiatrica San Valentino;SRSR H24;No;;;Non presente;;Accreditata: convenzione/contratto 2026 da comprovare;Accreditata: convenzione/contratto 2026 da comprovare;Accreditata: convenzione/contratto 2026 da comprovare;Da verificare 2026
MOD-101;Villa Daniela;SRSR H24;No;;;Non presente;;Solo autorizzazione / rapporto SSN da comprovare;Solo autorizzazione / rapporto SSN da comprovare;Solo autorizzazione / rapporto SSN da comprovare;Da verificare 2026
MOD-102;Villa Simona;SRTRi;No;;;Non presente;;Solo autorizzazione / rapporto SSN da comprovare;Solo autorizzazione / rapporto SSN da comprovare;Solo autorizzazione / rapporto SSN da comprovare;Da verificare 2026
MOD-103;Opera Don Calabria – Centro Diurno L’Alberoblu;Centro diurno psicoriabilitativo;No;;;Non presente;;Convenzionata documentata – dichiarazione corrente del gestore;Convenzionata documentata – dichiarazione corrente del gestore;Convenzionata documentata – dichiarazione corrente del gestore;Convenzionate
MOD-104;Aquilone Azzurro – Via Germanico;SRSR H12;No;;;Non presente;;Accreditata: contratto/convenzione 2026 da comprovare;Accreditata: contratto/convenzione 2026 da comprovare;Accreditata: contratto/convenzione 2026 da comprovare;Da verificare 2026
MOD-105;Aquilone Azzurro – La Gatta;SRSR H24;No;;;Non presente;;Accreditata: contratto/convenzione 2026 da comprovare;Accreditata: contratto/convenzione 2026 da comprovare;Accreditata: contratto/convenzione 2026 da comprovare;Da verificare 2026
MOD-106;Reverie – Comunità terapeutica romana;SRTR-e;No;;;Non presente;;Accreditata: contratto/convenzione 2026 da comprovare;Accreditata: contratto/convenzione 2026 da comprovare;Accreditata: contratto/convenzione 2026 da comprovare;Da verificare 2026
MOD-107;Nuovi Orizzonti – Comunità di Piglio;Pedagogico-riabilitativa residenziale;No;;;Non presente;Non censito;Non censito;Non censito;Convenzionata documentata – liquidazioni pubbliche 2026;Convenzionate
MOD-108;Fratello Sole – Santa Severa;Terapeutico-riabilitativa residenziale;No;;;Non presente;Non censito;Non censito;Non censito;Convenzionata documentata – inserimento e impegno di spesa 2026;Convenzionate
MOD-109;Il Ponte – Centro di Solidarietà;Terapeutico-riabilitativa residenziale;No;;;Non presente;Non censito;Non censito;Non censito;Convenzionata documentata – impegno di spesa 2026;Convenzionate
MOD-110;Comunità Psicoterapeutica Giacomo Cusmano;Terapeutico-riabilitativa residenziale;No;;;Non presente;Non censito;Non censito;Non censito;Accreditata: rapporto SSN 2026 da comprovare;Da verificare 2026
MOD-111;Mondo Nuovo – Villa Sergetto;Pedagogico-riabilitativa residenziale;No;;;Non presente;Non censito;Non censito;Non censito;Accreditata: rapporto SSN 2026 da comprovare;Da verificare 2026
MOD-112;Mondo Nuovo – Villa Paradiso;Pedagogico-riabilitativa residenziale;No;;;Non presente;Non censito;Non censito;Non censito;Accreditata: rapporto SSN 2026 da comprovare;Da verificare 2026
MOD-113;Mondo Nuovo – Villa Ciulepi;Pedagogico-riabilitativa residenziale;No;;;Non presente;Non censito;Non censito;Non censito;Accreditata: rapporto SSN 2026 da comprovare;Da verificare 2026
MOD-114;Mondo Nuovo – Colle Speranza;Pedagogico-riabilitativa residenziale;No;;;Non presente;Non censito;Non censito;Non censito;Accreditata: rapporto SSN 2026 da comprovare;Da verificare 2026
MOD-115;Comunità Emmanuel – Centro Riccardo Blasetti;Pedagogico-riabilitativa residenziale;No;;;Non presente;Non censito;Non censito;Non censito;Struttura attiva: accreditamento/rapporto SSN 2026 da ricontrollare;Da verificare 2026
