service_key;denominazione;comune;indirizzo;livello;nota;fonti
rete:RI-05;SerD Rieti;Rieti;Via Salaria per Roma, 36;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uos-attivita-terapeutico-riabilitative-per-i-disturbi-da-uso-di-sostanze-e-nuove-dipendenze | https://www.asl.rieti.it/guida-ai-servizi/disturbo-da-gioco-dazzardo
rete:RI-06;SerD Poggio Mirteto;Poggio Mirteto;Via Finocchieto, snc;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/guida-ai-servizi/disturbo-da-gioco-dazzardo | https://www.asl.rieti.it/wp-content/uploads/fileadmin/user_upload/23.06_all_2.1_ELENCO_DEFINITIVO_IMMOBILI_ASL.pdf
rete:RI-07;Alcologia e patologie correlate Rieti;Rieti;Via Salaria per Roma, 36;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti-aree-e-staff/dipartimento-tutela-e-promozione-della-salute-mentale/uoc-patologia-da-dipendenza/alcologia-e-patologie-correlate/
rete:RI-08;Ambulatorio CSM Leonessa;Leonessa;Via del Corso snc, Leonessa;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
rete:RI-09;Ambulatorio CSM Antrodoco;Antrodoco;Piazza Martiri della Libertà, Antrodoco;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1
rete:RI-10;Ambulatorio CSM Amatrice;Amatrice;Via F. Grifoni, 26;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1 | https://www.asl.rieti.it/strutture-sanitarie/ambulatori/
rete:RI-13;Ambulatorio CSM Osteria Nuova;Poggio Moiano / Osteria Nuova;Viale Europa, 13;E;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/csm-distretto-2
rete:RI-14;SerD interno Casa Circondariale Rieti Nuovo Complesso;Rieti;ND — non documentato nelle fonti consultate;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uos-attivita-terapeutico-riabilitative-per-i-disturbi-da-uso-di-sostanze-e-nuove-dipendenze
rete:VT-01;DSM Viterbo — segreteria;Viterbo;ND — non documentato nelle fonti consultate;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://asl.vt.it/index.php/dsm-dipartimento-di-salute-mentale
rete:VT-04;CSM / ambulatorio Canino;Canino;Via Bachelet, Canino;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-08;CSM / ambulatorio Tuscania;Tuscania;Piazza F. Basile, Tuscania;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-13;CSM / ambulatorio Capranica;Capranica;Strada Cassia km 53.900, Capranica;D;Street too long for a new unambiguous pin (>2.5 km);https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-15;CSM / ambulatorio Fabrica di Roma;Fabrica di Roma;Vicolo della Pace 2, Fabrica di Roma;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-18;CSM / ambulatorio Vetralla;Vetralla;Via Gilberto Pietrella 5, Vetralla;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-22;SerD Viterbo;Viterbo;Via M. M. Romiti, 86;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://asl.vt.it/droga-alcol-fumo-e-gioco-d-azzardo
rete:FR-01;DSM Frosinone — riferimento organizzativo;Frosinone;Via A. Fabi, Palazzina P;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://mentiattive.aslfrosinone.it/il-progetto/
rete:FR-05;CSM Ceccano;Ceccano;Borgo Santa Lucia, 52;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/
rete:FR-10;SerD Ceccano;Ceccano;Borgo Santa Lucia;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-patologie-da-dipendenza-frosinone-alatri-anagni-sora/uos-serd-ceccano/
rete:FR-11;SerD Frosinone;Frosinone;Via A. Fabi, Palazzina P;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-patologie-da-dipendenza-frosinone-alatri-anagni-sora/
rete:FR-13;Punto di erogazione CSM Ceprano;Ceprano;Viale Regina Margherita — ex Ospedale Civico;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/
rete:FR-14;Punto CSM / PEP Ferentino;Ferentino;ND — non documentato nelle fonti consultate;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/
rete:FR-15;Punto CSM / PEP Veroli;Veroli;ND — non documentato nelle fonti consultate;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-salute-mentale-frosinone-alatri-anagni-sora/
rete:LT-01;Direzione DSM Latina;Latina;Viale Le Corbusier, Centro commerciale, scala C, Latina;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ausl.latina.it/dipartimenti/31-azienda/449-dsm
rete:LT-03;CSM Cisterna di Latina;Cisterna di Latina;Via G. Falcone snc, Cisterna di Latina;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ausl.latina.it/dipartimenti/31-azienda/449-dsm
rete:LT-04;CSM Latina;Latina;Viale Le Corbusier, scala F, Latina. Piano/interno da confermare: nel testo n. 23, nella tabella secondo piano n. 36.;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ausl.latina.it/dipartimenti/31-azienda/449-dsm
rete:LT-06;CSM Monti Lepini — Sezze;Sezze;Via S. Bartolomeo 1, Sezze;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ausl.latina.it/dipartimenti/31-azienda/449-dsm
rete:LT-10;CSM Formia;Formia;Via Lavagna 43, Formia;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ausl.latina.it/dipartimenti/31-azienda/449-dsm
rete:LT-15;SerD Formia;Formia;Via Appia lato Napoli, Formia;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ausl.latina.it/dipartimenti/31-azienda/449-dsm
rete:NET-008;TSMREE Cassia;Roma;Via Cassia, 472;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma1.it/servizi-tsmree-tutela-salute-mentale-e-riabilitazione-dell-eta-evolutiva
rete:NET-023;TSMREE Torrenova;Roma;Via di Torrenova, 20;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma2.it/index.php/organizzazione/dipartimenti/dip-di-salute-mentale
rete:NET-055;SPDC P.O. H1;Frascati;Ospedale San Sebastiano;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://regione.lazio.it/urp/sintesi-concorsi-bur/sintesi-del-bollettino-ufficiale-n-106-del-27122022
rete:NET-057;TSMREE Frascati;Frascati;Via E. Fermi, snc;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://conteinrete.it/vademecum/
rete:NET-065;Ambulatorio Disturbi Nutrizione e Alimentazione Rieti;Rieti;Palazzo Dosi Delfini, Piazza Vittorio Emanuele II, 17;D;"Conflitto fra indicazione precedente e avviso ASL datato; non selezionata automaticamente una sede attuale.";https://www.asl.rieti.it/ | https://www.asl.rieti.it/iniziative-di-screening-e-prevenzione/
rete:NET-073;Ambulatorio DNA Viterbo;Viterbo;Non documentato;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.vt.it/ambulatorio-disturbi-della-nutrizione-e-dell-alimentazione-dna
rete:NET-074;SPDC Frosinone-Alatri;Alatri;Non documentato;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/
rete:NET-082;UOSD Disturbi Nutrizione e Alimentazione;Frosinone;Via Armando Fabi - Palazzina L;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uosd-disturbi-del-comportamento-alimentare/
rete:NET-030;Centro Diurno Monteverde;Roma;Via Crescenzo dal Monte, 13;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xii/ | https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-xi-e-xii-municipio/
rete:NET-037;Centro Diurno Riabilitativo Distretto 4;Campagnano di Roma;Via B. Lesen 9–11, Campagnano di Roma;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.aslroma4.it/azienda/dipartimenti/dipartimento-di-salute-mentale | https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale
rete:NET-015;SRSR Nomentana;Roma;Via Nomentana, 54;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi | https://www.aslroma1.it/
rete:NET-044;Centro Diurno Monterotondo;Monterotondo;Non documentato;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.aslroma5.it/amministrazione-trasparente/organigramma-dipartimento-di-prevenzione-e-dsmdp-2025/
rete:NET-056;Centro Diurno Pomezia;Pomezia;Casa della Comunità HUB Pomezia;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.regione.lazio.it/notizie/sanita-inaugurata-la-casa-della-comunita-di-pomezia
rete:NET-064;Centro Diurno Cicolano;Fiamignano;Via Don Agostino Gismondi 2, Peschieta di Fiamignano;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-csm/csm-distretto-1 | https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche
rete:NET-077;Centro Diurno Orizzonti Aperti;Frosinone;Viale Mazzini, Distretto Sanitario, Frosinone;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-residenzialita-e-semiresidenzialita/uos-centri-diurni/
rete:NET-078;Centro Diurno Oltre il Muro;Ceccano;Via Marano snc, Ceccano;D;Street too long for a new unambiguous pin (>2.5 km);https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-residenzialita-e-semiresidenzialita/uos-centri-diurni/
rete:NET-083;UOC Residenzialità e Semiresidenzialità;Frosinone;Via Fabi, snc - Palazzina M;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-residenzialita-e-semiresidenzialita/ | https://www.asl.fr.it/strutture/dipartimenti/dipartimento-di-salute-mentale-e-delle-patologie-da-dipendenza/uoc-residenzialita-e-semiresidenzialita/uos-centri-diurni/
rete:NET-093;Comunità Terapeutica Santa Fecitola;Latina;Via Tor Tre Ponti, Latina;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.ausl.latina.it/dipartimenti/31-azienda/449-dsm
rete:PUB72-R1-018;Centro Diurno Valle Aurelia;Roma;Via di Valle Aurelia, 257;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma1.it/presidi-territoriali/Distretto%2013/lista_presidi
rete:PUB72-R2-009;SRTRe Sillani – Il Ponte e l’Albero;Roma;Via T. Sillani, 7;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.aslroma2.it/index.php/uosd-residenzialita-salute-mentale
rete:PUB72-RI-002;Centro Diurno Psichiatrico Melograno – Poggio Mirteto;Poggio Mirteto;Via Formello loc. Sant’Antonio, 2/A;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.rieti.it/wp-content/uploads/fileadmin/user_upload/23.06_all_2.1_ELENCO_DEFINITIVO_IMMOBILI_ASL.pdf
rete:PUB72-VT-002;Centro Diurno DSM Viterbo;Viterbo;Via M. Romiti, 54;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://asl.vt.it/centro-diurno-dsm
rete:PUB72-VT-004;SRSR H24 Villa San Giuseppe;Montefiascone;Loc. Le Mosse;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://asl.vt.it/srsr-strutture-residenziali-socio-riabilitative
rete:PUB72-FR-001;SRTRe Franco Basaglia;Frosinone;Via A. Fabi, snc;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/wp-content/uploads/avviso-struttura-complessa-RESIDENZIALITA-E-SEMIRESIDENZIALITA.pdf
rete:PUB72-FR-002;SRTRe Romolo Priori;Frosinone;Via A. Fabi, snc – Palazzina M;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/wp-content/uploads/avviso-struttura-complessa-RESIDENZIALITA-E-SEMIRESIDENZIALITA.pdf
rete:PUB72-FR-003;SRTRe Maxwell Jones;Ceccano;Borgo Santa Lucia, 52;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/wp-content/uploads/avviso-struttura-complessa-RESIDENZIALITA-E-SEMIRESIDENZIALITA.pdf
moduli:MOD-091;Agatos – Comunità Francesco Giugliarelli;Viterbo;Via Strada Cimina, 16/A;D;Street too long for a new unambiguous pin (>2.5 km);https://asl.vt.it/strutture-private-accreditate | https://www.coopagatos.it/wp-content/uploads/2024/03/2023-PARS-.pdf | https://aslbenevento-appalti.maggiolicloud.it/PortaleAppalti/it/ppgare_esiti_lista.wp?actionPath=%2FExtStr2%2Fdo%2FFrontEnd%2FEsiti%2Fview.action&codice=G01544&currentFrame=7 | https://www.aslbenevento.it/en/albo-pretorio?page=9
moduli:MOD-046;Alberto Pezzi;Santi Cosma e Damiano;Via Ausente, km 2.750;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf | https://www.comunitainsieme.com/download/amministrazione_trasparente/prestazioni-in-ambito-di-accreditamento.pdf | https://www.ausl.latina.it/strutture-sanitarie-private-accreditate/7232-accordi-con-strutture-private-accreditate | https://www.ausl.latina.it/AlboOnLine/miu3.do?fllbck=.sv1md&hold=11630&kcond4.att2md=15687&link=ln18&miu3.icp3=36726&sp=page4 | https://www.comunitainsieme.com/strutture/
moduli:MOD-094;Borgo San Tommaso;Roccasecca;Via San Francesco, 2/a;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.asl.fr.it/wp-content/uploads/BUR-2025-64-0-117-475.pdf | https://www.asl.fr.it/wp-content/uploads/PDEL_1255_DEL_01.12.2022_ALL.1_PAP_FROSINONE-1.pdf | https://gestivar.it/le-strutture/ | https://gestivar.it/contatti/ | https://trasparenza.asl1abruzzo.it/page/103/provvedimenti-organi-indirizzo-politico.html?p=20 | https://asl1abruzzo.patisweb.it/page/103/details/249395/prestazioni-di-assistenza-sanitaria-rete-privata-accreditata-insita-fuori-regione-liquidazione-fatture-maggiogiugno-2026-gesti-var-srl-srtr-estensiva-borgo-san-tommaso-roccasecca-fr.html
moduli:MOD-081;Gabbiano Tirreno – Rocca Canterano 1 (già IHG);Rocca Canterano;Via della Maddalena, 2;D;"Il collegamento cartografico pubblicato dal gestore rinvia a «Falesia di Rocca Canterano», non a una destinazione nominativa coerente con questa struttura. Coordinate scartate; nessun pin aggiunto.";https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf | https://www.aslroma5.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/ | https://www.aslroma5.it/wp-content/uploads/2026/07/Gabbiano-Tirreno-Rocca-Canterano-1.pdf | https://www.aslroma5.it/wp-content/uploads/2026/07/Strutture-Private-Accreditate-2025-2026.pdf | https://gabbianotirreno.it/strutture/rocca-canterano
moduli:MOD-082;Gabbiano Tirreno – Rocca Canterano 2 (già IHG);Rocca Canterano;Via della Maddalena, 2;D;"Il collegamento cartografico pubblicato dal gestore rinvia a «Falesia di Rocca Canterano», non a una destinazione nominativa coerente con questa struttura. Coordinate scartate; nessun pin aggiunto.";https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf | https://www.aslroma5.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/ | https://www.aslroma5.it/wp-content/uploads/2026/07/Gabbiano-Tirreno-Rocca-Canterano-2.pdf | https://www.aslroma5.it/wp-content/uploads/2026/07/Strutture-Private-Accreditate-2025-2026.pdf | https://gabbianotirreno.it/strutture/rocca-canterano
moduli:MOD-013;Casa Siloè;Roma;Via Portuense, 251;D;Street too long for a new unambiguous pin (>2.5 km);https://www.aslroma3.it/wp-content/uploads/2026/07/contratto_budget_04_05_31_12_26-1.pdf
moduli:MOD-075;Gabbiano Tirreno – Castel Madama 1 (già IHG);Castel Madama;Strada Provinciale, 40/A;D;"Il collegamento cartografico pubblicato dal gestore rinvia a «Tabaccheria Senza Filtro», non a una destinazione nominativa coerente con questa struttura. Coordinate scartate; nessun pin aggiunto.";https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf | https://www.aslroma5.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/ | https://www.aslroma5.it/wp-content/uploads/2026/07/Gabbiano-Tirreno-Castel-Madama-1.pdf | https://www.aslroma5.it/wp-content/uploads/2026/07/Strutture-Private-Accreditate-2025-2026.pdf | https://gabbianotirreno.it/strutture/castel-madama
moduli:MOD-076;Gabbiano Tirreno – Castel Madama 2 (già IHG);Castel Madama;Strada Provinciale, 40/A;D;"Il collegamento cartografico pubblicato dal gestore rinvia a «Tabaccheria Senza Filtro», non a una destinazione nominativa coerente con questa struttura. Coordinate scartate; nessun pin aggiunto.";https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf | https://www.aslroma5.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/ | https://www.aslroma5.it/wp-content/uploads/2026/07/Gabbiano-Tirreno-Castel-Madama-2.pdf | https://www.aslroma5.it/wp-content/uploads/2026/07/Strutture-Private-Accreditate-2025-2026.pdf | https://gabbianotirreno.it/strutture/castel-madama
moduli:MOD-058;Comunità Santa Maria / Capannelle;Roma;Via Appia Nuova,1251;D;Street too long for a new unambiguous pin (>2.5 km);https://www.ceisroma.it/wp-content/uploads/2026/06/PARS-CEIS-CAPANNELLE-2026.pdf | https://www.ceisroma.it/info-trasparenza/ | https://www.ceisroma.it/wp-content/uploads/2021/05/carta-servizi-2021.pdf | https://www.ceisroma.it/project/comunita-santa-maria-servizio-residenziale-terapeutico-riabilitativo-per-persone-dipendenti/ | https://www.ceisroma.it/la-gratuita-di-tutti-i-servizi-e-il-nostro-personale/ | https://aslroma2.it/index.php/62-cittadini/servizi/medicina-protesica/139-medicina-protesica
moduli:MOD-070;Il Colle;Da consolidare;Non documentato;E;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-110-del-30.01.2025-BUDGET-PSICHIATRICHE.pdf | https://www.aslroma5.it/wp-content/uploads/2026/07/Delibera-n.-404-del-10.03.2025-BUDGET-PSICHIATRICHE-INTEGRAZIONE.pdf | https://www.aslroma5.it/amministrazione-trasparente/strutture-sanitarie-private-accreditate/
moduli:MOD-051;In Dialogo — Il Casale;Trivigliano;Contrada Malle snc;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.actalazio.it/in-dialogo/ | https://comunitaindialogo.it/
moduli:MOD-045;Insieme Spigno;Spigno Saturnia;Via Silvio Pellico, 7/9;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf | https://www.comunitainsieme.com/download/amministrazione_trasparente/prestazioni-in-ambito-di-accreditamento.pdf | https://www.ausl.latina.it/strutture-sanitarie-private-accreditate/7232-accordi-con-strutture-private-accreditate | https://www.ausl.latina.it/AlboOnLine/miu3.do?fllbck=.sv1md&hold=11630&kcond4.att2md=15687&link=ln18&miu3.icp3=36726&sp=page4 | https://www.comunitainsieme.com/strutture/
moduli:MOD-040;Insieme1 Luna;Formia;Via Penitro a Monte snc;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf | https://www.comunitainsieme.com/download/amministrazione_trasparente/prestazioni-in-ambito-di-accreditamento.pdf | https://www.ausl.latina.it/strutture-sanitarie-private-accreditate/7232-accordi-con-strutture-private-accreditate | https://www.ausl.latina.it/AlboOnLine/miu3.do?fllbck=.sv1md&hold=11630&kcond4.att2md=15687&link=ln18&miu3.icp3=36726&sp=page4 | https://www.comunitainsieme.com/strutture/
moduli:MOD-039;Insieme1 Sole;Formia;Via Penitro a Monte snc;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf | https://www.comunitainsieme.com/download/amministrazione_trasparente/prestazioni-in-ambito-di-accreditamento.pdf | https://www.ausl.latina.it/strutture-sanitarie-private-accreditate/7232-accordi-con-strutture-private-accreditate | https://www.ausl.latina.it/AlboOnLine/miu3.do?fllbck=.sv1md&hold=11630&kcond4.att2md=15687&link=ln18&miu3.icp3=36726&sp=page4 | https://www.comunitainsieme.com/strutture/
moduli:MOD-041;Insieme2;Santi Cosma e Damiano;Via Ausente km2.750;D;"Indirizzo/civico da localizzare; nessun centroide comunale usato.";https://www.comunitainsieme.com/download/amministrazione_trasparente/carta_dei_servizi_26.pdf | https://www.comunitainsieme.com/download/amministrazione_trasparente/prestazioni-in-ambito-di-accreditamento.pdf | https://www.ausl.latina.it/strutture-sanitarie-private-accreditate/7232-accordi-con-strutture-private-accreditate | https://www.ausl.latina.it/AlboOnLine/miu3.do?fllbck=.sv1md&hold=11630&kcond4.att2md=15687&link=ln18&miu3.icp3=36726&sp=page4 | https://www.comunitainsieme.com/strutture/
