"dataset";"record_id";"nome";"campo";"precedente";"valore_v7_6";"data_riesame";"stato_riesame";"fonti";"metodi";"nota"
"rete";"R1-07";"CSM Farulli";"orari";"Mattine feriali 08–14; rientri e sabati secondo calendario alternato, da confermare";"Lun–ven 08–14; lun e mer anche 14–20. Alternanza con Monte Tomatico il ven pomeriggio e sab mattina: calendario da confermare.";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-09";"CSM Innocenzo IV";"telefono";"0660106090";"06 6010 6090";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-09";"CSM Innocenzo IV";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab 08–14 secondo pagina rete. Distinguere apertura e accesso libero/programmato.";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-10";"CSM Gasparri";"telefono";"0660106140";"06 6010 6140";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-10";"CSM Gasparri";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab 08–14.";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-11";"CSM Ventura";"telefono";"0660106040";"06 6010 6040";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-11";"CSM Ventura";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab e prefestivi 08–14.";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-12";"CSM Antonino Di Giorgio";"telefono";"0660105090";"06 6010 5090";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-12";"CSM Antonino Di Giorgio";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab e prefestivi 08–14.";"2026-09-21";"riesame_parziale";"https://www.aslroma1.it/salute-mentale";"pagina_ufficiale";"Contatti e orari riscontrati; altre informazioni del record non riesaminate. Eventuali calendari alternati non sono proiettati automaticamente al 2026/27."
"rete";"R1-08";"CSM Boccea";"telefono";"0660105125";"06 6010 5125";"2026-09-21";"incongruenza_fonti";"https://www.aslroma1.it/salute-mentale | https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-boccea";"pagina_ufficiale | pagina_ufficiale";"Incongruenza tra due fonti istituzionali. Nessuna apertura del sabato certificata dal progetto."
"rete";"R1-08";"CSM Boccea";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Da confermare: pagina rete indica sabato 08–14; pagina della sede indica sabato 08–20. Le fonti concordano su lun–ven 08–20.";"2026-09-21";"incongruenza_fonti";"https://www.aslroma1.it/salute-mentale | https://www.aslroma1.it/presidi-territoriali/centro-salute-mentale-boccea";"pagina_ufficiale | pagina_ufficiale";"Incongruenza tra due fonti istituzionali. Nessuna apertura del sabato certificata dal progetto."
"rete";"R3-01";"Direzione DSM Roma 3";"indirizzo";"Via Raffaello Giovagnoli, 29";"Via Raffaello Giovagnoli 29, Roma";"2026-09-21";"riesame_parziale";"https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/";"pagina_ufficiale";""
"rete";"R3-01";"Direzione DSM Roma 3";"telefono";"0656486152 / 0656486154 / 0656486155";"06 56486152 / 06 56486154 / 06 56486155";"2026-09-21";"riesame_parziale";"https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/";"pagina_ufficiale";""
"rete";"R3-01";"Direzione DSM Roma 3";"email";"dsmdir@aslroma3.it";"dsmdir@aslroma3.it";"2026-09-21";"riesame_parziale";"https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/";"pagina_ufficiale";""
"rete";"R5-02";"CSM Guidonia";"indirizzo";"Via Colleferro, 71";"Via Colleferro 71, Guidonia";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-guidonia/";"pagina_ufficiale";""
"rete";"R5-02";"CSM Guidonia";"telefono";"0774779186";"0774 779186";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-guidonia/";"pagina_ufficiale";""
"rete";"R5-02";"CSM Guidonia";"email";"csm.guidonia@aslroma5.it";"csm.guidonia@aslroma5.it";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-guidonia/";"pagina_ufficiale";""
"rete";"R5-02";"CSM Guidonia";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab e prefestivi 08–14";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-guidonia/";"pagina_ufficiale";""
"rete";"R5-03";"CSM Monterotondo";"indirizzo";"Viale dell’Aeronautica, 53";"Viale dell’Aeronautica 53, Monterotondo";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-monterotondo/";"pagina_ufficiale";""
"rete";"R5-03";"CSM Monterotondo";"telefono";"0690093556";"06 90093556";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-monterotondo/";"pagina_ufficiale";""
"rete";"R5-03";"CSM Monterotondo";"email";"csm.monterotondo@aslroma5.it";"csm.monterotondo@aslroma5.it";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-monterotondo/";"pagina_ufficiale";""
"rete";"R5-03";"CSM Monterotondo";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab e prefestivi 08–14";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uos-csm-di-monterotondo/";"pagina_ufficiale";""
"rete";"R5-04";"CSM Subiaco";"indirizzo";"Via della Repubblica, 28";"Via della Repubblica 28, Subiaco";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-subiaco/";"pagina_ufficiale";""
"rete";"R5-04";"CSM Subiaco";"telefono";"077485156 / 07748115014";"0774 85156 / 0774 8115014";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-subiaco/";"pagina_ufficiale";""
"rete";"R5-04";"CSM Subiaco";"email";"csm.subiaco@aslroma5.it";"csm.subiaco@aslroma5.it";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-subiaco/";"pagina_ufficiale";""
"rete";"R5-04";"CSM Subiaco";"orari";"Lun–ven 08–20; sabato non indicato";"Lun–ven 08–20";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-subiaco/";"pagina_ufficiale";""
"rete";"R5-05";"CSM Tivoli";"indirizzo";"Via Domenico Giuliani, 4";"Via Domenico Giuliani 4, Tivoli";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-tivoli/";"pagina_ufficiale";""
"rete";"R5-05";"CSM Tivoli";"telefono";"0774318218";"0774 318218";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-tivoli/";"pagina_ufficiale";""
"rete";"R5-05";"CSM Tivoli";"email";"csm.tivoli@aslroma5.it";"csm.tivoli@aslroma5.it";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-tivoli/";"pagina_ufficiale";""
"rete";"R5-05";"CSM Tivoli";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab 08–14";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-subiaco-e-tivoli/uos-csm-di-tivoli/";"pagina_ufficiale";""
"rete";"R5-06";"CSM Colleferro";"indirizzo";"Via degli Esplosivi, 9/b";"Via degli Esplosivi 9/b, Colleferro";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-di-colleferro-e-palestrina/uos-csm-di-colleferro/";"pagina_ufficiale";""
"rete";"R5-06";"CSM Colleferro";"telefono";"0697097705";"06 97097705";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-di-colleferro-e-palestrina/uos-csm-di-colleferro/";"pagina_ufficiale";""
"rete";"R5-06";"CSM Colleferro";"email";"csm.colleferro@aslroma5.it";"csm.colleferro@aslroma5.it";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-di-colleferro-e-palestrina/uos-csm-di-colleferro/";"pagina_ufficiale";""
"rete";"R5-06";"CSM Colleferro";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab e prefestivi 08–14";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-di-colleferro-e-palestrina/uos-csm-di-colleferro/";"pagina_ufficiale";""
"rete";"R5-07";"CSM Palestrina";"indirizzo";"Via Porta San Martino, 36";"Via Porta San Martino 36, Palestrina";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-di-colleferro-e-palestrina/uos-csm-di-palestrina/";"pagina_ufficiale";""
"rete";"R5-07";"CSM Palestrina";"telefono";"0695322489 / 0695322492 / 0695322493 / 0695322494 / 0695322497";"06 95322489";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-di-colleferro-e-palestrina/uos-csm-di-palestrina/";"pagina_ufficiale";""
"rete";"R5-07";"CSM Palestrina";"email";"csm.palestrina@aslroma5.it";"csm.palestrina@aslroma5.it";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-di-colleferro-e-palestrina/uos-csm-di-palestrina/";"pagina_ufficiale";""
"rete";"R5-07";"CSM Palestrina";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab e prefestivi 08–14";"2026-09-21";"riesame_parziale";"https://www.aslroma5.it/dsmdp-dipartimento-di-salute-mentale-e-delle-dipendenze-patologiche/uoc-csm-di-colleferro-e-palestrina/uos-csm-di-palestrina/";"pagina_ufficiale";""
"rete";"R4-02";"CSM Distretto 1 — Civitavecchia";"indirizzo";"Via delle Azalee, traversa viale G. Bianconi";"Via delle Azalee, traversa Viale G. Bianconi, Civitavecchia";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-02";"CSM Distretto 1 — Civitavecchia";"telefono";"0696669820 / 0696669821";"06 96669820 / 06 96669821";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-02";"CSM Distretto 1 — Civitavecchia";"email";"csm.f1@aslroma4.it";"csm.f1@aslroma4.it";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-02";"CSM Distretto 1 — Civitavecchia";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab 08–14";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-02";"CSM Distretto 1 — Civitavecchia";"destinatari";"";"Persone di età maggiore di 18 anni; CSM competente per territorio di residenza.";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-02";"CSM Distretto 1 — Civitavecchia";"accesso";"CSM competente per residenza; accesso diretto all'accoglienza, preferibilmente con richiesta MMG; urgenze su richiesta motivata di sanitario";"Diretto all’accoglienza, preferibilmente con richiesta MMG; successiva definizione del percorso.";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-03";"CSM Distretto 2 — Ladispoli";"indirizzo";"Via Berna, 6";"Via Berna 6, zona Cerreto, Ladispoli";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-03";"CSM Distretto 2 — Ladispoli";"telefono";"0696669979";"06 96669979";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-03";"CSM Distretto 2 — Ladispoli";"email";"csm.ladispoli@aslroma4.it";"csm.ladispoli@aslroma4.it";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-03";"CSM Distretto 2 — Ladispoli";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab 08–14";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-03";"CSM Distretto 2 — Ladispoli";"destinatari";"";"Persone di età maggiore di 18 anni; CSM competente per territorio di residenza.";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-03";"CSM Distretto 2 — Ladispoli";"accesso";"CSM competente per residenza; accesso diretto all'accoglienza, preferibilmente con richiesta MMG; urgenze su richiesta motivata di sanitario";"Diretto all’accoglienza, preferibilmente con richiesta MMG; successiva definizione del percorso.";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-04";"CSM Distretto 3 — Bracciano";"indirizzo";"Via Trento, 18";"Via Trento 18, Bracciano";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-04";"CSM Distretto 3 — Bracciano";"telefono";"0696669204 / 0696669205 / 0696669208";"06 96669204 / 06 96669205 / 06 96669208";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-04";"CSM Distretto 3 — Bracciano";"email";"csm.bracciano@aslroma4.it";"csm.bracciano@aslroma4.it";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-04";"CSM Distretto 3 — Bracciano";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab 08–14";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-04";"CSM Distretto 3 — Bracciano";"destinatari";"";"Persone di età maggiore di 18 anni; CSM competente per territorio di residenza.";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-04";"CSM Distretto 3 — Bracciano";"accesso";"CSM competente per residenza; accesso diretto all'accoglienza, preferibilmente con richiesta MMG; urgenze su richiesta motivata di sanitario";"Diretto all’accoglienza, preferibilmente con richiesta MMG; successiva definizione del percorso.";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-05";"CSM Distretto 4 — Morlupo";"indirizzo";"Via Roncacci, 78";"Via Roncacci 78, Morlupo";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-05";"CSM Distretto 4 — Morlupo";"telefono";"0696669917 / 0696669907";"06 96669917 / 06 96669907";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-05";"CSM Distretto 4 — Morlupo";"email";"csm.f4@aslroma4.it";"csm.f4@aslroma4.it";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-05";"CSM Distretto 4 — Morlupo";"orari";"Lun–ven 08:00–20:00; sab e prefestivi 08:00–14:00";"Lun–ven 08–20; sab 08–14";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-05";"CSM Distretto 4 — Morlupo";"destinatari";"";"Persone di età maggiore di 18 anni; CSM competente per territorio di residenza.";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"R4-05";"CSM Distretto 4 — Morlupo";"accesso";"CSM competente per residenza; accesso diretto all'accoglienza, preferibilmente con richiesta MMG; urgenze su richiesta motivata di sanitario";"Diretto all’accoglienza, preferibilmente con richiesta MMG; successiva definizione del percorso.";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";"Requisiti di accesso dichiarati per tutti i CSM Roma 4. Non estesi automaticamente ad altre ASL."
"rete";"NET-034";"Centro Diurno Riabilitativo Distretto 1";"indirizzo";"Via Toscana, 25";"Via Toscana 25, Civitavecchia";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";""
"rete";"NET-034";"Centro Diurno Riabilitativo Distretto 1";"telefono";"06 96669748 / 0766 22727";"06 96669748 / 0766 22727";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";""
"rete";"NET-034";"Centro Diurno Riabilitativo Distretto 1";"email";"";"centrodiurno.f1@aslroma4.it / centrodiurno1@aslroma4.it";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";""
"rete";"NET-034";"Centro Diurno Riabilitativo Distretto 1";"orari";"Lun-ven 08:00-20:00; sab 08:00-14:00";"Lun–ven 08–20; sab 08–14";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";""
"rete";"NET-034";"Centro Diurno Riabilitativo Distretto 1";"accesso";"Su progetto terapeutico DSM";"Progetto personalizzato concordato con l’équipe curante del CSM di residenza.";"2026-09-21";"riesame_parziale";"https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale";"pagina_ufficiale";""
