id;asl;struttura;tipo;azione;fonte;evidenza;note
PUB72-R1-011;ASL Roma 1;Centro Diurno Sabrata P.I.P.S.M. Polo Est;Centro diurno;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-012;ASL Roma 1;Gruppo Appartamento Turchia;SRSR / gruppo appartamento;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%202/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-013;ASL Roma 1;Centro Diurno Monte Tomatico;Centro diurno;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%203/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-014;ASL Roma 1;Centro Diurno Pasquariello;Centro diurno;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%203/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-015;ASL Roma 1;Gruppo Appartamento Quarrata;SRSR / gruppo appartamento;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%203/lista_presidi;Confermata su fonte ASL corrente;Posti documentati: 18. 
PUB72-R1-016;ASL Roma 1;SRSR Via Scarpanto;SRSR;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%203/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-017;ASL Roma 1;SRTRe Marcigliana;SRTRe;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%203/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-018;ASL Roma 1;Centro Diurno Valle Aurelia;Centro diurno;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2013/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-019;ASL Roma 1;Gruppo Appartamento Sodini;SRSR / gruppo appartamento;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2013/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-020;ASL Roma 1;SRTRe Castel di Guido;SRTRe;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2013/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-021;ASL Roma 1;SRSR H12 Gasparri;SRSR H12;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2014/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-022;ASL Roma 1;Centro Diurno Di Giorgio;Centro diurno;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2015/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-023;ASL Roma 1;Gruppo Appartamento Galline Bianche;SRSR / gruppo appartamento;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2015/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-024;ASL Roma 1;Gruppo Appartamento Prima Porta;SRSR / gruppo appartamento;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2015/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R1-025;ASL Roma 1;SRSR H12 Antonino Di Giorgio;SRSR H12;AGGIUNTA V7.2;https://www.aslroma1.it/presidi-territoriali/Distretto%2015/lista_presidi;Confermata su fonte ASL corrente;
PUB72-R2-001;ASL Roma 2;Centro Diurno L’Aquilone;Centro diurno;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/centri-diurni?id=31&view=page;Confermata su fonte ASL corrente;Sede decentrata: Via Rubellia, 4.
PUB72-R2-002;ASL Roma 2;Centro Diurno Casilina – Gattamelata;Centro diurno;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/centri-diurni?id=31&view=page;Confermata su fonte ASL corrente;
PUB72-R2-003;ASL Roma 2;Centro Diurno Manfredonia – Lo Stormo;Centro diurno;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/centri-diurni?id=31&view=page;Confermata su fonte ASL corrente;
PUB72-R2-004;ASL Roma 2;Centro Diurno Canapiglie–Pispole;Centro diurno;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/centri-diurni?id=31&view=page;Confermata su fonte ASL corrente;Due sedi operative pubblicate dalla ASL.
PUB72-R2-005;ASL Roma 2;Centro Diurno Cinecittà;Centro diurno;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/centri-diurni?id=31&view=page;Confermata su fonte ASL corrente;
PUB72-R2-006;ASL Roma 2;Centro Diurno Villa Lais;Centro diurno;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/centri-diurni?id=31&view=page;Confermata su fonte ASL corrente;"Email riportata così nella pagina ASL; possibile refuso da verificare."
PUB72-R2-007;ASL Roma 2;Centro Diurno San Paolo;Centro diurno;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/centri-diurni?id=31&view=page;Confermata su fonte ASL corrente;
PUB72-R2-008;ASL Roma 2;Centro Diurno Vergani;Centro diurno;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/centri-diurni?id=31&view=page;Confermata su fonte ASL corrente;
PUB72-R2-009;ASL Roma 2;SRTRe Sillani – Il Ponte e l’Albero;SRTRe;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/uosd-residenzialita-salute-mentale;Confermata su fonte ASL corrente;Posti documentati: 12. 
PUB72-R2-010;ASL Roma 2;SRTRe Salone – Mario Gozzano (D6);SRTRe;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/uosd-residenzialita-salute-mentale;Confermata su fonte ASL corrente;Posti documentati: 12. 
PUB72-R2-011;ASL Roma 2;SRTRe Urbania;SRTRe;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/uosd-residenzialita-salute-mentale;Confermata su fonte ASL corrente;Posti documentati: 12. 
PUB72-R2-012;ASL Roma 2;SRSR H12 Le Terrazze/Lunghezza;SRSR H12;AGGIUNTA V7.2;https://www.aslroma2.it/index.php/uosd-residenzialita-salute-mentale;Confermata su fonte ASL corrente;Posti documentati: 18. 
PUB72-R3-001;ASL Roma 3;SRTRe Catacombe di Generosa;SRTRe;AGGIUNTA V7.2;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uosd-residenzialita-in-salute-mentale/;Confermata su fonte ASL corrente;"Posti documentati: 16. Gestione diretta ASL Roma 3; 16 posti letto."
PUB72-R3-002;ASL Roma 3;SRSR H24 Mazzacurati;SRSR H24;AGGIUNTA V7.2;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uosd-residenzialita-in-salute-mentale/;Confermata su fonte ASL corrente;Posti documentati: 10. 
PUB72-R3-003;ASL Roma 3;Centro Diurno Terapeutico Riabilitativo Fiumicino;Centro diurno;AGGIUNTA V7.2;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-comune-di-fiumicino/;Confermata su fonte ASL corrente;
PUB72-RI-001;ASL Rieti;Comunità Terapeutico-Riabilitativa La Villa;SRTRe;AGGIUNTA V7.2;https://www.asl.rieti.it/organizzazione-aziendale/dipartimenti/dipartimento-promozione-e-tutela-della-salute-mentale/uosd-strutture-riabilitative-salute-mentale-e-rems;Confermata su fonte ASL corrente;Posti documentati: 9. 
PUB72-RI-002;ASL Rieti;Centro Diurno Psichiatrico Melograno – Poggio Mirteto;Centro diurno;AGGIUNTA V7.2;https://www.asl.rieti.it/wp-content/uploads/fileadmin/user_upload/23.06_all_2.1_ELENCO_DEFINITIVO_IMMOBILI_ASL.pdf;Confermata su fonte ASL corrente;"La rete CSM distretto 2 documenta il Centro Diurno; indirizzo da patrimonio immobiliare ASL."
PUB72-VT-001;ASL Viterbo;Centro Diurno DSM Tarquinia;Centro diurno;AGGIUNTA V7.2;https://asl.vt.it/centro-diurno-dsm;Confermata su fonte ASL corrente;Attività del Centro Diurno Tarquinia confermata anche da evento ASL del 23/06/2026.
PUB72-VT-002;ASL Viterbo;Centro Diurno DSM Viterbo;Centro diurno;AGGIUNTA V7.2;https://asl.vt.it/centro-diurno-dsm;Confermata su fonte ASL corrente;"Scheda sede aggiornata 2023; DSM aziendale risulta aggiornato maggio 2026."
PUB72-VT-003;ASL Viterbo;Centro Diurno DSM Civita Castellana;Centro diurno;AGGIUNTA V7.2;https://asl.vt.it/centro-diurno-dsm;Confermata su fonte ASL corrente;"Scheda sede aggiornata 2023; DSM aziendale risulta aggiornato maggio 2026."
PUB72-VT-004;ASL Viterbo;SRSR H24 Villa San Giuseppe;SRSR H24;AGGIUNTA V7.2;https://asl.vt.it/srsr-strutture-residenziali-socio-riabilitative;Confermata su fonte ASL corrente;"Pagina struttura aggiornata 07/09/2023; DSM aziendale aggiornato 04/05/2026 continua a includere SRSR nella rete."
PUB72-VT-005;ASL Viterbo;SRSR Marco Binelli;SRSR;AGGIUNTA V7.2;https://asl.vt.it/srsr-strutture-residenziali-socio-riabilitative;Confermata su fonte ASL corrente;"Pagina struttura aggiornata 07/09/2023; DSM aziendale aggiornato 04/05/2026 continua a includere SRSR nella rete."
PUB72-FR-001;ASL Frosinone;SRTRe Franco Basaglia;SRTRe;AGGIUNTA V7.2;https://www.asl.fr.it/wp-content/uploads/avviso-struttura-complessa-RESIDENZIALITA-E-SEMIRESIDENZIALITA.pdf;Confermata su fonte ASL corrente;Posti documentati: 10. 
PUB72-FR-002;ASL Frosinone;SRTRe Romolo Priori;SRTRe;AGGIUNTA V7.2;https://www.asl.fr.it/wp-content/uploads/avviso-struttura-complessa-RESIDENZIALITA-E-SEMIRESIDENZIALITA.pdf;Confermata su fonte ASL corrente;Posti documentati: 20. 
PUB72-FR-003;ASL Frosinone;SRTRe Maxwell Jones;SRTRe;AGGIUNTA V7.2;https://www.asl.fr.it/wp-content/uploads/avviso-struttura-complessa-RESIDENZIALITA-E-SEMIRESIDENZIALITA.pdf;Confermata su fonte ASL corrente;Posti documentati: 20. 
NET-026;R3;Centro Diurno Brisse;Centro diurno;RICONTROLLATA V7.2;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xi/;Confermata su pagina ASL corrente;
NET-027;R3;Centro Diurno Mazzacurati;Centro diurno;RICONTROLLATA V7.2;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-xi-e-xii-municipio/;Confermata nella rete DSM corrente;
NET-028;R3;Centro Diurno Tagaste;Centro diurno;RICONTROLLATA V7.2;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-municipio-x-e-comune-di-fiumicino/;Confermata nella rete DSM corrente;
NET-029;R3;Centro Diurno Acilia;Centro diurno;RICONTROLLATA V7.2;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-municipio-x-e-comune-di-fiumicino/;Confermata nella rete DSM corrente;
NET-030;R3;Centro Diurno Monteverde;Centro diurno;RICONTROLLATA V7.2;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-xi-e-xii-municipio/;Confermata nella rete DSM corrente;
NET-031;R3;Centro Diurno Cantiere 24;Centro diurno;RICONTROLLATA V7.2;https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-municipio-x-e-comune-di-fiumicino/;Confermata nella rete DSM corrente;
NET-034;R4;Centro Diurno Riabilitativo Distretto 1;Centro diurno;RICONTROLLATA V7.2;https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale;Confermata su pagina ASL corrente;
NET-035;R4;Centro Diurno Riabilitativo Distretto 2;Centro diurno;RICONTROLLATA V7.2;https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale;Confermata su pagina ASL corrente;
NET-036;R4;Centro Diurno Riabilitativo Distretto 3;Centro diurno;RICONTROLLATA V7.2;https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale;Confermata su pagina ASL corrente;
NET-037;R4;Centro Diurno Riabilitativo Distretto 4;Centro diurno;RICONTROLLATA V7.2;https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale;Confermata su pagina ASL corrente;
NET-038;R4;SRTRe Il Melograno;Residenziale;RICONTROLLATA V7.2;https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale;Confermata su pagina ASL corrente;
