# V7.11 source reconnaissance — candidates only
No automatic pin or operational-data update.

rete:R1-01 | DSM Roma 1 — riferimento organizzativo | Roma | ND — non documentato nelle fonti consultate | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:R5-12 | SerD Subiaco | Subiaco | Contrada Colle Cisterna, snc | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
rete:R6-02 | CSM Anzio/Nettuno | Anzio | Villa Albani, ingresso Viale Mencacci / Via Aldobrandini, 32 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:R6-03 | CSM Pomezia | Pomezia | Via del Mare, km 19 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:R6-05 | CSM Ciampino | Ciampino | Via F. Baracca, 17/19 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:RI-01 | DSM Rieti — riferimento organizzativo | Rieti | ND — non documentato nelle fonti consultate | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-02 | CSM Rieti — Distretto 1 | Rieti | Via Salaria per Roma 36, Rieti | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-03 | CSM Poggio Mirteto — Distretto 2 | Poggio Mirteto | Via Finocchieto, snc | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-04 | CSM Cicolano — Peschieta di Fiamignano | Fiamignano | Via Don Agostino Gismondi 2, Peschieta di Fiamignano | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-05 | SerD Rieti | Rieti | Via Salaria per Roma, 36 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-06 | SerD Poggio Mirteto | Poggio Mirteto | Via Finocchieto, snc | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-07 | Alcologia e patologie correlate Rieti | Rieti | Via Salaria per Roma, 36 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-08 | Ambulatorio CSM Leonessa | Leonessa | Via del Corso snc, Leonessa | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-09 | Ambulatorio CSM Antrodoco | Antrodoco | Piazza Martiri della Libertà, Antrodoco | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-10 | Ambulatorio CSM Amatrice | Amatrice | Via F. Grifoni, 26 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-13 | Ambulatorio CSM Osteria Nuova | Poggio Moiano / Osteria Nuova | Viale Europa, 13 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:RI-14 | SerD interno Casa Circondariale Rieti Nuovo Complesso | Rieti | ND — non documentato nelle fonti consultate | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:VT-01 | DSM Viterbo — segreteria | Viterbo | ND — non documentato nelle fonti consultate | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:VT-03 | CSM / ambulatorio Bagnoregio | Bagnoregio | Via Fratelli Agosti 6, Bagnoregio | HTTP_OK 1 | 42.74116391894057,11.866071315733052 https://asl.vt.it/csm-centro-di-salute-mentale; 42.62579442627041,12.098751865730408 https://asl.vt.it/csm-centro-di-salute-mentale; 42.47200633601667,11.757058415726958 https://asl.vt.it/csm-centro-di-salute-mentale; 42.34570357744176,11.597522232637566 https://asl.vt.it/csm-centro-di-salute-mentale; 42.54339983149566,12.029380015728618 https://asl.vt.it/csm-centro-di-salute-mentale; 42.249892080222594,11.759271158259287 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41683593151219,11.872833476480455 https://asl.vt.it/csm-centro-di-salute-mentale; 42.56827122991929,11.817922215729153 https://asl.vt.it/csm-centro-di-salute-mentale; 42.4603183,12.3843114 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41998629849533,12.23387044906512 https://asl.vt.it/csm-centro-di-salute-mentale; 42.409663939959806,12.106888715725605 https://asl.vt.it/csm-centro-di-salute-mentale; 42.25634616134696,12.185057149504 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30201766264147,12.412016256284447 https://asl.vt.it/csm-centro-di-salute-mentale; 42.334274344721806,12.294401715723888 https://asl.vt.it/csm-centro-di-salute-mentale; 42.24101875089952,12.34231065473724 https://asl.vt.it/csm-centro-di-salute-mentale; 42.292493347358,12.210283315722934 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30582732055544,12.079007267782329 https://asl.vt.it/csm-centro-di-salute-mentale; 42.37956147627038,12.27773970058497 https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-04 | CSM / ambulatorio Canino | Canino | Via Bachelet, Canino | HTTP_OK 1 | 42.74116391894057,11.866071315733052 https://asl.vt.it/csm-centro-di-salute-mentale; 42.62579442627041,12.098751865730408 https://asl.vt.it/csm-centro-di-salute-mentale; 42.47200633601667,11.757058415726958 https://asl.vt.it/csm-centro-di-salute-mentale; 42.34570357744176,11.597522232637566 https://asl.vt.it/csm-centro-di-salute-mentale; 42.54339983149566,12.029380015728618 https://asl.vt.it/csm-centro-di-salute-mentale; 42.249892080222594,11.759271158259287 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41683593151219,11.872833476480455 https://asl.vt.it/csm-centro-di-salute-mentale; 42.56827122991929,11.817922215729153 https://asl.vt.it/csm-centro-di-salute-mentale; 42.4603183,12.3843114 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41998629849533,12.23387044906512 https://asl.vt.it/csm-centro-di-salute-mentale; 42.409663939959806,12.106888715725605 https://asl.vt.it/csm-centro-di-salute-mentale; 42.25634616134696,12.185057149504 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30201766264147,12.412016256284447 https://asl.vt.it/csm-centro-di-salute-mentale; 42.334274344721806,12.294401715723888 https://asl.vt.it/csm-centro-di-salute-mentale; 42.24101875089952,12.34231065473724 https://asl.vt.it/csm-centro-di-salute-mentale; 42.292493347358,12.210283315722934 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30582732055544,12.079007267782329 https://asl.vt.it/csm-centro-di-salute-mentale; 42.37956147627038,12.27773970058497 https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-08 | CSM / ambulatorio Tuscania | Tuscania | Piazza F. Basile, Tuscania | HTTP_OK 1 | 42.74116391894057,11.866071315733052 https://asl.vt.it/csm-centro-di-salute-mentale; 42.62579442627041,12.098751865730408 https://asl.vt.it/csm-centro-di-salute-mentale; 42.47200633601667,11.757058415726958 https://asl.vt.it/csm-centro-di-salute-mentale; 42.34570357744176,11.597522232637566 https://asl.vt.it/csm-centro-di-salute-mentale; 42.54339983149566,12.029380015728618 https://asl.vt.it/csm-centro-di-salute-mentale; 42.249892080222594,11.759271158259287 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41683593151219,11.872833476480455 https://asl.vt.it/csm-centro-di-salute-mentale; 42.56827122991929,11.817922215729153 https://asl.vt.it/csm-centro-di-salute-mentale; 42.4603183,12.3843114 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41998629849533,12.23387044906512 https://asl.vt.it/csm-centro-di-salute-mentale; 42.409663939959806,12.106888715725605 https://asl.vt.it/csm-centro-di-salute-mentale; 42.25634616134696,12.185057149504 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30201766264147,12.412016256284447 https://asl.vt.it/csm-centro-di-salute-mentale; 42.334274344721806,12.294401715723888 https://asl.vt.it/csm-centro-di-salute-mentale; 42.24101875089952,12.34231065473724 https://asl.vt.it/csm-centro-di-salute-mentale; 42.292493347358,12.210283315722934 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30582732055544,12.079007267782329 https://asl.vt.it/csm-centro-di-salute-mentale; 42.37956147627038,12.27773970058497 https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-09 | CSM / ambulatorio Valentano | Valentano | Via delle Mura Castellane 28, Valentano | HTTP_OK 1 | 42.74116391894057,11.866071315733052 https://asl.vt.it/csm-centro-di-salute-mentale; 42.62579442627041,12.098751865730408 https://asl.vt.it/csm-centro-di-salute-mentale; 42.47200633601667,11.757058415726958 https://asl.vt.it/csm-centro-di-salute-mentale; 42.34570357744176,11.597522232637566 https://asl.vt.it/csm-centro-di-salute-mentale; 42.54339983149566,12.029380015728618 https://asl.vt.it/csm-centro-di-salute-mentale; 42.249892080222594,11.759271158259287 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41683593151219,11.872833476480455 https://asl.vt.it/csm-centro-di-salute-mentale; 42.56827122991929,11.817922215729153 https://asl.vt.it/csm-centro-di-salute-mentale; 42.4603183,12.3843114 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41998629849533,12.23387044906512 https://asl.vt.it/csm-centro-di-salute-mentale; 42.409663939959806,12.106888715725605 https://asl.vt.it/csm-centro-di-salute-mentale; 42.25634616134696,12.185057149504 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30201766264147,12.412016256284447 https://asl.vt.it/csm-centro-di-salute-mentale; 42.334274344721806,12.294401715723888 https://asl.vt.it/csm-centro-di-salute-mentale; 42.24101875089952,12.34231065473724 https://asl.vt.it/csm-centro-di-salute-mentale; 42.292493347358,12.210283315722934 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30582732055544,12.079007267782329 https://asl.vt.it/csm-centro-di-salute-mentale; 42.37956147627038,12.27773970058497 https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-10 | CSM / ambulatorio Orte | Orte | Via A. Gramsci 41, Orte | HTTP_OK 1 | 42.74116391894057,11.866071315733052 https://asl.vt.it/csm-centro-di-salute-mentale; 42.62579442627041,12.098751865730408 https://asl.vt.it/csm-centro-di-salute-mentale; 42.47200633601667,11.757058415726958 https://asl.vt.it/csm-centro-di-salute-mentale; 42.34570357744176,11.597522232637566 https://asl.vt.it/csm-centro-di-salute-mentale; 42.54339983149566,12.029380015728618 https://asl.vt.it/csm-centro-di-salute-mentale; 42.249892080222594,11.759271158259287 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41683593151219,11.872833476480455 https://asl.vt.it/csm-centro-di-salute-mentale; 42.56827122991929,11.817922215729153 https://asl.vt.it/csm-centro-di-salute-mentale; 42.4603183,12.3843114 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41998629849533,12.23387044906512 https://asl.vt.it/csm-centro-di-salute-mentale; 42.409663939959806,12.106888715725605 https://asl.vt.it/csm-centro-di-salute-mentale; 42.25634616134696,12.185057149504 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30201766264147,12.412016256284447 https://asl.vt.it/csm-centro-di-salute-mentale; 42.334274344721806,12.294401715723888 https://asl.vt.it/csm-centro-di-salute-mentale; 42.24101875089952,12.34231065473724 https://asl.vt.it/csm-centro-di-salute-mentale; 42.292493347358,12.210283315722934 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30582732055544,12.079007267782329 https://asl.vt.it/csm-centro-di-salute-mentale; 42.37956147627038,12.27773970058497 https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-13 | CSM / ambulatorio Capranica | Capranica | Strada Cassia km 53.900, Capranica | HTTP_OK 1 | 42.74116391894057,11.866071315733052 https://asl.vt.it/csm-centro-di-salute-mentale; 42.62579442627041,12.098751865730408 https://asl.vt.it/csm-centro-di-salute-mentale; 42.47200633601667,11.757058415726958 https://asl.vt.it/csm-centro-di-salute-mentale; 42.34570357744176,11.597522232637566 https://asl.vt.it/csm-centro-di-salute-mentale; 42.54339983149566,12.029380015728618 https://asl.vt.it/csm-centro-di-salute-mentale; 42.249892080222594,11.759271158259287 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41683593151219,11.872833476480455 https://asl.vt.it/csm-centro-di-salute-mentale; 42.56827122991929,11.817922215729153 https://asl.vt.it/csm-centro-di-salute-mentale; 42.4603183,12.3843114 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41998629849533,12.23387044906512 https://asl.vt.it/csm-centro-di-salute-mentale; 42.409663939959806,12.106888715725605 https://asl.vt.it/csm-centro-di-salute-mentale; 42.25634616134696,12.185057149504 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30201766264147,12.412016256284447 https://asl.vt.it/csm-centro-di-salute-mentale; 42.334274344721806,12.294401715723888 https://asl.vt.it/csm-centro-di-salute-mentale; 42.24101875089952,12.34231065473724 https://asl.vt.it/csm-centro-di-salute-mentale; 42.292493347358,12.210283315722934 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30582732055544,12.079007267782329 https://asl.vt.it/csm-centro-di-salute-mentale; 42.37956147627038,12.27773970058497 https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-15 | CSM / ambulatorio Fabrica di Roma | Fabrica di Roma | Vicolo della Pace 2, Fabrica di Roma | HTTP_OK 1 | 42.74116391894057,11.866071315733052 https://asl.vt.it/csm-centro-di-salute-mentale; 42.62579442627041,12.098751865730408 https://asl.vt.it/csm-centro-di-salute-mentale; 42.47200633601667,11.757058415726958 https://asl.vt.it/csm-centro-di-salute-mentale; 42.34570357744176,11.597522232637566 https://asl.vt.it/csm-centro-di-salute-mentale; 42.54339983149566,12.029380015728618 https://asl.vt.it/csm-centro-di-salute-mentale; 42.249892080222594,11.759271158259287 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41683593151219,11.872833476480455 https://asl.vt.it/csm-centro-di-salute-mentale; 42.56827122991929,11.817922215729153 https://asl.vt.it/csm-centro-di-salute-mentale; 42.4603183,12.3843114 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41998629849533,12.23387044906512 https://asl.vt.it/csm-centro-di-salute-mentale; 42.409663939959806,12.106888715725605 https://asl.vt.it/csm-centro-di-salute-mentale; 42.25634616134696,12.185057149504 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30201766264147,12.412016256284447 https://asl.vt.it/csm-centro-di-salute-mentale; 42.334274344721806,12.294401715723888 https://asl.vt.it/csm-centro-di-salute-mentale; 42.24101875089952,12.34231065473724 https://asl.vt.it/csm-centro-di-salute-mentale; 42.292493347358,12.210283315722934 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30582732055544,12.079007267782329 https://asl.vt.it/csm-centro-di-salute-mentale; 42.37956147627038,12.27773970058497 https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-17 | CSM / ambulatorio Ronciglione | Ronciglione | Via Ospedale Sant’Anna 17, Ronciglione | HTTP_OK 1 | 42.74116391894057,11.866071315733052 https://asl.vt.it/csm-centro-di-salute-mentale; 42.62579442627041,12.098751865730408 https://asl.vt.it/csm-centro-di-salute-mentale; 42.47200633601667,11.757058415726958 https://asl.vt.it/csm-centro-di-salute-mentale; 42.34570357744176,11.597522232637566 https://asl.vt.it/csm-centro-di-salute-mentale; 42.54339983149566,12.029380015728618 https://asl.vt.it/csm-centro-di-salute-mentale; 42.249892080222594,11.759271158259287 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41683593151219,11.872833476480455 https://asl.vt.it/csm-centro-di-salute-mentale; 42.56827122991929,11.817922215729153 https://asl.vt.it/csm-centro-di-salute-mentale; 42.4603183,12.3843114 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41998629849533,12.23387044906512 https://asl.vt.it/csm-centro-di-salute-mentale; 42.409663939959806,12.106888715725605 https://asl.vt.it/csm-centro-di-salute-mentale; 42.25634616134696,12.185057149504 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30201766264147,12.412016256284447 https://asl.vt.it/csm-centro-di-salute-mentale; 42.334274344721806,12.294401715723888 https://asl.vt.it/csm-centro-di-salute-mentale; 42.24101875089952,12.34231065473724 https://asl.vt.it/csm-centro-di-salute-mentale; 42.292493347358,12.210283315722934 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30582732055544,12.079007267782329 https://asl.vt.it/csm-centro-di-salute-mentale; 42.37956147627038,12.27773970058497 https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-18 | CSM / ambulatorio Vetralla | Vetralla | Via Gilberto Pietrella 5, Vetralla | HTTP_OK 1 | 42.74116391894057,11.866071315733052 https://asl.vt.it/csm-centro-di-salute-mentale; 42.62579442627041,12.098751865730408 https://asl.vt.it/csm-centro-di-salute-mentale; 42.47200633601667,11.757058415726958 https://asl.vt.it/csm-centro-di-salute-mentale; 42.34570357744176,11.597522232637566 https://asl.vt.it/csm-centro-di-salute-mentale; 42.54339983149566,12.029380015728618 https://asl.vt.it/csm-centro-di-salute-mentale; 42.249892080222594,11.759271158259287 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41683593151219,11.872833476480455 https://asl.vt.it/csm-centro-di-salute-mentale; 42.56827122991929,11.817922215729153 https://asl.vt.it/csm-centro-di-salute-mentale; 42.4603183,12.3843114 https://asl.vt.it/csm-centro-di-salute-mentale; 42.41998629849533,12.23387044906512 https://asl.vt.it/csm-centro-di-salute-mentale; 42.409663939959806,12.106888715725605 https://asl.vt.it/csm-centro-di-salute-mentale; 42.25634616134696,12.185057149504 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30201766264147,12.412016256284447 https://asl.vt.it/csm-centro-di-salute-mentale; 42.334274344721806,12.294401715723888 https://asl.vt.it/csm-centro-di-salute-mentale; 42.24101875089952,12.34231065473724 https://asl.vt.it/csm-centro-di-salute-mentale; 42.292493347358,12.210283315722934 https://asl.vt.it/csm-centro-di-salute-mentale; 42.30582732055544,12.079007267782329 https://asl.vt.it/csm-centro-di-salute-mentale; 42.37956147627038,12.27773970058497 https://asl.vt.it/csm-centro-di-salute-mentale
rete:VT-22 | SerD Viterbo | Viterbo | Via M. M. Romiti, 86 | HTTP_OK 1 | 42.53986183171972,12.031310815728444 https://asl.vt.it/droga-alcol-fumo-e-gioco-d-azzardo; 42.249658733812225,11.756580331926973 https://asl.vt.it/droga-alcol-fumo-e-gioco-d-azzardo; 42.41125413985927,12.108014615725626 https://asl.vt.it/droga-alcol-fumo-e-gioco-d-azzardo; 42.41838193940865,12.098737215725782 https://asl.vt.it/droga-alcol-fumo-e-gioco-d-azzardo; 42.30201766264147,12.412016256284447 https://asl.vt.it/droga-alcol-fumo-e-gioco-d-azzardo
rete:FR-01 | DSM Frosinone — riferimento organizzativo | Frosinone | Via A. Fabi, Palazzina P | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:FR-05 | CSM Ceccano | Ceccano | Borgo Santa Lucia, 52 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:FR-10 | SerD Ceccano | Ceccano | Borgo Santa Lucia | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:FR-11 | SerD Frosinone | Frosinone | Via A. Fabi, Palazzina P | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:FR-13 | Punto di erogazione CSM Ceprano | Ceprano | Viale Regina Margherita — ex Ospedale Civico | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:FR-14 | Punto CSM / PEP Ferentino | Ferentino | ND — non documentato nelle fonti consultate | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:FR-15 | Punto CSM / PEP Veroli | Veroli | ND — non documentato nelle fonti consultate | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:LT-01 | Direzione DSM Latina | Latina | Viale Le Corbusier, Centro commerciale, scala C, Latina | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:LT-03 | CSM Cisterna di Latina | Cisterna di Latina | Via G. Falcone snc, Cisterna di Latina | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:LT-04 | CSM Latina | Latina | Viale Le Corbusier, scala F, Latina. Piano/interno da confermare: nel testo n. 23, nella tabella secondo piano n. 36. | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:LT-06 | CSM Monti Lepini — Sezze | Sezze | Via S. Bartolomeo 1, Sezze | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:LT-10 | CSM Formia | Formia | Via Lavagna 43, Formia | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:LT-15 | SerD Formia | Formia | Via Appia lato Napoli, Formia | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:NET-008 | TSMREE Cassia | Roma | Via Cassia, 472 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:NET-023 | TSMREE Torrenova | Roma | Via di Torrenova, 20 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:NET-052 | NPIA Subiaco | Subiaco | Largo Giuseppe Mazzini, snc | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:NET-053 | NPIA Olevano Romano | Olevano Romano | Piazzale San Francesco d'Assisi, 103 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:NET-055 | SPDC P.O. H1 | Frascati | Ospedale San Sebastiano | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:NET-057 | TSMREE Frascati | Frascati | Via E. Fermi, snc | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:NET-065 | Ambulatorio Disturbi Nutrizione e Alimentazione Rieti | Rieti | Palazzo Dosi Delfini, Piazza Vittorio Emanuele II, 17 | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:NET-073 | Ambulatorio DNA Viterbo | Viterbo | Non documentato | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:NET-074 | SPDC Frosinone-Alatri | Alatri | Non documentato | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:NET-082 | UOSD Disturbi Nutrizione e Alimentazione | Frosinone | Via Armando Fabi - Palazzina L | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:NET-085 | SPDC Formia - Ospedale Dono Svizzero | Formia | Ospedale Dono Svizzero, Via Appia lato Napoli | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:NET-030 | Centro Diurno Monteverde | Roma | Via Crescenzo dal Monte, 13 | HTTP_OK 2 | 41.8554176,12.4451558 https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xii/; 41.8354881,12.4293964 https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-distretto-sanitario-municipio-xii/; 41.8554176,12.4451558 https://www.aslroma3.it/dipartimenti/dipartimento-di-salute-mentale/uoc-salute-mentale-xi-e-xii-municipio/
rete:NET-037 | Centro Diurno Riabilitativo Distretto 4 | Campagnano di Roma | Via B. Lesen 9–11, Campagnano di Roma | HTTP_OK 2 | 42.096103959619576,12.170582451332661 https://www.aslroma4.it/azienda/dipartimenti/dipartimento-di-salute-mentale; 42.07576099414168,11.813756488150585 https://www.aslroma4.it/strutture-sanitarie/strutture-di-salute-mentale
rete:NET-015 | SRSR Nomentana | Roma | Via Nomentana, 54 | HTTP_OK 2 | MANUAL_RESEARCH_REQUIRED
rete:NET-044 | Centro Diurno Monterotondo | Monterotondo | Non documentato | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:NET-056 | Centro Diurno Pomezia | Pomezia | Casa della Comunità HUB Pomezia | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:NET-064 | Centro Diurno Cicolano | Fiamignano | Via Don Agostino Gismondi 2, Peschieta di Fiamignano | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:NET-077 | Centro Diurno Orizzonti Aperti | Frosinone | Viale Mazzini, Distretto Sanitario, Frosinone | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:NET-078 | Centro Diurno Oltre il Muro | Ceccano | Via Marano snc, Ceccano | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:NET-083 | UOC Residenzialità e Semiresidenzialità | Frosinone | Via Fabi, snc - Palazzina M | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:NET-093 | Comunità Terapeutica Santa Fecitola | Latina | Via Tor Tre Ponti, Latina | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:PUB72-R1-018 | Centro Diurno Valle Aurelia | Roma | Via di Valle Aurelia, 257 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:PUB72-R2-009 | SRTRe Sillani – Il Ponte e l’Albero | Roma | Via T. Sillani, 7 | HTTP_OK 1 | MANUAL_RESEARCH_REQUIRED
rete:PUB72-RI-002 | Centro Diurno Psichiatrico Melograno – Poggio Mirteto | Poggio Mirteto | Via Formello loc. Sant’Antonio, 2/A | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:PUB72-VT-002 | Centro Diurno DSM Viterbo | Viterbo | Via M. Romiti, 54 | HTTP_OK 1 | 42.536077131959736,12.029246315728486 https://asl.vt.it/centro-diurno-dsm; 42.249892080222594,11.759271158259287 https://asl.vt.it/centro-diurno-dsm; 42.410927739879796,12.107928915725537 https://asl.vt.it/centro-diurno-dsm; 42.296798147086456,12.406345715723035 https://asl.vt.it/centro-diurno-dsm
rete:PUB72-VT-004 | SRSR H24 Villa San Giuseppe | Montefiascone | Loc. Le Mosse | HTTP_OK 1 | 42.52891793012514,12.016676096525241 https://asl.vt.it/srsr-strutture-residenziali-socio-riabilitative; 42.415300975005195,12.100246858260228 https://asl.vt.it/srsr-strutture-residenziali-socio-riabilitative
rete:PUB72-FR-001 | SRTRe Franco Basaglia | Frosinone | Via A. Fabi, snc | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
rete:PUB72-FR-002 | SRTRe Romolo Priori | Frosinone | Via A. Fabi, snc – Palazzina M | HTTP_OK 0 | MANUAL_RESEARCH_REQUIRED
